"MONTHLY_INVENTORY_ID","PRODUCT__PRODUCT_ID","INVENTORY_MONTH","MONTHLY_QUANTITY_EOM","WDF__CLIENT_ID","MONTHLY_QUANTITY_BOM","DATE"
"M-SIJHAAK7","P-V31BEYOD","2020-10-01","6853","merchant__bigboxretailer","6864","2020-10-01 00-00-00"
"M-95YY9YBA","P-T19LH1W3","2020-10-01","6660","merchant__bigboxretailer","6700","2020-10-01 00-00-00"
"M-H9OFJEDY","P-D4UZI0Q6","2020-10-01","7347","merchant__bigboxretailer","7370","2020-10-01 00-00-00"
"M-WLDVU07O","P-DIJYSCJX","2020-10-01","6624","merchant__bigboxretailer","6630","2020-10-01 00-00-00"
"M-AIW80GCN","P-BBEXUP0N","2020-10-01","6343","merchant__bigboxretailer","6359","2020-10-01 00-00-00"
"M-N49USPGX","P-V9C1Z60T","2020-10-01","6198","merchant__bigboxretailer","6202","2020-10-01 00-00-00"
"M-TC1P8LEC","P-8IVS3X5D","2020-10-01","6587","merchant__bigboxretailer","6594","2020-10-01 00-00-00"
"M-L9F418M4","P-YJD7ZFQ2","2020-10-01","6823","merchant__bigboxretailer","6839","2020-10-01 00-00-00"
"M-O8C5OGZD","P-BTB8ZRXC","2020-10-01","6436","merchant__bigboxretailer","6440","2020-10-01 00-00-00"
"M-2RKQJWB6","P-C09JGU3F","2020-10-01","6345","merchant__bigboxretailer","6346","2020-10-01 00-00-00"
"M-OVQVAYQF","P-E50KGFCU","2020-10-01","7260","merchant__bigboxretailer","7274","2020-10-01 00-00-00"
"M-AMJ4HFQC","P-CHYU4ZJI","2020-10-01","6522","merchant__bigboxretailer","6535","2020-10-01 00-00-00"
"M-SQH8LQGV","P-XAYNR0T6","2020-10-01","7232","merchant__bigboxretailer","7241","2020-10-01 00-00-00"
"M-NCAHTY7U","P-WO0SDMGK","2020-10-01","6420","merchant__bigboxretailer","6435","2020-10-01 00-00-00"
"M-D4NWMVSN","P-0TWSXI4N","2020-10-01","7005","merchant__bigboxretailer","7015","2020-10-01 00-00-00"
"M-EUKFDRHF","P-VFGGTGZ6","2020-10-01","6114","merchant__bigboxretailer","6130","2020-10-01 00-00-00"
"M-1DMZQG8D","P-THIK9F1X","2020-10-01","7401","merchant__bigboxretailer","7407","2020-10-01 00-00-00"
"M-JXLPH1XH","P-WQMXKEGP","2020-10-01","5986","merchant__bigboxretailer","6002","2020-10-01 00-00-00"
"M-ESCMI1O0","P-S36CB1QJ","2020-10-01","6868","merchant__bigboxretailer","6896","2020-10-01 00-00-00"
"M-1JUE19C4","P-3MTZNZZQ","2020-10-01","6636","merchant__bigboxretailer","6658","2020-10-01 00-00-00"
"M-SNG8K1R0","P-5XCG0UTE","2020-10-01","7073","merchant__bigboxretailer","7086","2020-10-01 00-00-00"
"M-NW3YQ2QN","P-4D4GBPXQ","2020-10-01","6666","merchant__bigboxretailer","6667","2020-10-01 00-00-00"
"M-DLA61BDB","P-GW67493M","2020-10-01","6099","merchant__bigboxretailer","6109","2020-10-01 00-00-00"
"M-AQRTPJIT","P-WTY27OZL","2020-10-01","6679","merchant__bigboxretailer","6703","2020-10-01 00-00-00"
"M-IHI27M8B","P-2SD45TWG","2020-10-01","6633","merchant__bigboxretailer","6655","2020-10-01 00-00-00"
"M-R74GCXX4","P-L6YPNB29","2020-10-01","6782","merchant__bigboxretailer","6822","2020-10-01 00-00-00"
"M-I5PQSV2D","P-A8O48KV0","2020-10-01","6894","merchant__bigboxretailer","6896","2020-10-01 00-00-00"
"M-YY9KBGL3","P-WMS7SICR","2020-10-01","6627","merchant__bigboxretailer","6634","2020-10-01 00-00-00"
"M-1YUR5M5Z","P-4563KS3N","2020-10-01","6846","merchant__bigboxretailer","6852","2020-10-01 00-00-00"
"M-1B5KHQ9K","P-5WF8MAWW","2020-10-01","7516","merchant__bigboxretailer","7561","2020-10-01 00-00-00"
"M-9X2M6XRR","P-9FWVXP10","2020-10-01","6642","merchant__bigboxretailer","6648","2020-10-01 00-00-00"
"M-HDATXKTI","P-JJCPYV91","2020-10-01","7088","merchant__bigboxretailer","7106","2020-10-01 00-00-00"
"M-UNOZXAYY","P-1QIE7O8G","2020-10-01","6313","merchant__bigboxretailer","6330","2020-10-01 00-00-00"
"M-B16IS07P","P-ICT7RI6F","2020-10-01","7239","merchant__bigboxretailer","7256","2020-10-01 00-00-00"
"M-Z5WCWHWE","P-HHR04158","2020-10-01","6608","merchant__bigboxretailer","6608","2020-10-01 00-00-00"
"M-7BFEJ5QW","P-YTLNZJKP","2020-10-01","6582","merchant__bigboxretailer","6583","2020-10-01 00-00-00"
"M-PZWEZ2SO","P-JTUI8HSG","2020-10-01","6391","merchant__bigboxretailer","6412","2020-10-01 00-00-00"
"M-MZJR99ZC","P-EYKEOJCJ","2020-10-01","6462","merchant__bigboxretailer","6465","2020-10-01 00-00-00"
"M-O4FLNO0O","P-FZ66BFMY","2020-10-01","6678","merchant__bigboxretailer","6686","2020-10-01 00-00-00"
"M-WETOYGC7","P-HNK5Z07P","2020-10-01","3730","merchant__clothing","3743","2020-10-01 00-00-00"
"M-74DDPZ4C","P-TGYAQJM6","2020-10-01","4188","merchant__clothing","4188","2020-10-01 00-00-00"
"M-7PME2D2X","P-ASQFR4X3","2020-10-01","3446","merchant__clothing","3456","2020-10-01 00-00-00"
"M-QDLP1DLJ","P-RGJRVFSZ","2020-10-01","3635","merchant__clothing","3644","2020-10-01 00-00-00"
"M-WA81OK7K","P-KWA3U3HT","2020-10-01","3701","merchant__clothing","3702","2020-10-01 00-00-00"
"M-2XOV62NH","P-I2W8RZWZ","2020-10-01","3193","merchant__clothing","3200","2020-10-01 00-00-00"
"M-QZ80XX2G","P-NKUV88W1","2020-10-01","3521","merchant__clothing","3535","2020-10-01 00-00-00"
"M-CARXMQF1","P-Z0B4UTT8","2020-10-01","3424","merchant__clothing","3424","2020-10-01 00-00-00"
"M-4VDGRD9X","P-SOZUA4Z4","2020-10-01","3876","merchant__clothing","3883","2020-10-01 00-00-00"
"M-X5XM7BC9","P-NHO3Q8SD","2020-10-01","3889","merchant__clothing","3889","2020-10-01 00-00-00"
"M-B97GKPX5","P-096T1FM5","2020-10-01","3453","merchant__clothing","3453","2020-10-01 00-00-00"
"M-ISS928JH","P-75R0H42R","2020-10-01","3053","merchant__clothing","3055","2020-10-01 00-00-00"
"M-PC474TQ9","P-69DZ5V1V","2020-10-01","3269","merchant__clothing","3275","2020-10-01 00-00-00"
"M-I13K7OGR","P-R8ZEIVJR","2020-10-01","3975","merchant__clothing","3994","2020-10-01 00-00-00"
"M-V9ZDKHK8","P-9BGJMXLM","2020-10-01","3198","merchant__clothing","3209","2020-10-01 00-00-00"
"M-MDL1Z52S","P-CYG3KGYG","2020-10-01","3033","merchant__clothing","3036","2020-10-01 00-00-00"
