"ORDER_ID","WDF__CLIENT_ID","ORDER_STATUS"
"O-NAYH5ML2","merchant__electronics","Processed"
"O-F1UFPC1O","merchant__bigboxretailer","Processed"
"O-C5UR2VXL","merchant__bigboxretailer","Processed"
"O-CCTM09BN","merchant__electronics","Processed"
"O-MVVRAAEH","merchant__clothing","Processed"
"O-N0B48BAC","merchant__electronics","Canceled"
"O-HFQFV7FZ","merchant__electronics","Processed"
"O-0XBFXV2Z","merchant__electronics","Processed"
"O-J7HY89YB","merchant__electronics","Processed"
"O-SDWHLES6","merchant__bigboxretailer","Processed"
"O-IOTP91Q4","merchant__bigboxretailer","Processed"
"O-JABMP39U","merchant__bigboxretailer","Processed"
"O-QQZI0RRV","merchant__electronics","Processed"
"O-R1QYGQIE","merchant__bigboxretailer","Canceled"
"O-DVMWPCES","merchant__electronics","Processed"
"O-KXCLQR90","merchant__bigboxretailer","Processed"
"O-XGUE02SZ","merchant__bigboxretailer","In Cart"
"O-V5X19PQ5","merchant__electronics","Processed"
"O-QV976M9P","merchant__bigboxretailer","Processed"
"O-9E5231QR","merchant__bigboxretailer","Processed"
"O-3EGNCRLP","merchant__bigboxretailer","Processed"
"O-Z4TC8XGZ","merchant__electronics","Processed"
"O-VP8TH7J0","merchant__electronics","In Cart"
"O-4Z0O75AQ","merchant__bigboxretailer","Processed"
"O-8E1DYRZP","merchant__bigboxretailer","In Cart"
"O-XFUHM7QM","merchant__bigboxretailer","Canceled"
"O-3J84KRJG","merchant__clothing","Processed"
"O-S4HXF7CM","merchant__clothing","Processed"
"O-ZDJBS6IJ","merchant__electronics","Processed"
"O-QKROHFZA","merchant__electronics","Processed"
"O-GOH5NGBJ","merchant__electronics","Processed"
"O-88F5NY6M","merchant__electronics","Canceled"
"O-HS8IDNGR","merchant__clothing","Processed"
"O-ORH82Q0E","merchant__bigboxretailer","Processed"
"O-A5A3IE0X","merchant__bigboxretailer","Processed"
"O-7YB4X8BV","merchant__clothing","Processed"
"O-WY47GS2O","merchant__clothing","Processed"
"O-LIDDJ1KE","merchant__bigboxretailer","Processed"
"O-5NP8HMBG","merchant__clothing","Canceled"
"O-5ONSX49B","merchant__bigboxretailer","Processed"
"O-AHAIN94D","merchant__clothing","Processed"
"O-5GOVHKPW","merchant__clothing","Processed"
"O-3P14Z1QB","merchant__bigboxretailer","Processed"
"O-DZT5CZ6Q","merchant__electronics","Processed"
"O-NCI8GKAM","merchant__clothing","Processed"
"O-AW8NN5BU","merchant__clothing","Processed"
"O-0A28JT82","merchant__electronics","Processed"
"O-GG3B6WU2","merchant__bigboxretailer","Processed"
"O-DH8MVAYV","merchant__bigboxretailer","Processed"
"O-6X5EDEF7","merchant__clothing","Processed"
"O-Y3ZYSLBS","merchant__electronics","In Cart"
"O-7JU9DEX9","merchant__bigboxretailer","Processed"
"O-JA5DQX10","merchant__bigboxretailer","Processed"
"O-AJNCREYT","merchant__bigboxretailer","Canceled"
"O-V9IKMWJE","merchant__bigboxretailer","Processed"
"O-Y9N6MQ6R","merchant__electronics","Processed"
"O-E23ZW8LP","merchant__clothing","Processed"
"O-95CRJJ9N","merchant__electronics","Processed"
"O-XE5F3QEP","merchant__bigboxretailer","Processed"
"O-J2SLT07W","merchant__clothing","Processed"
"O-JVDE43WW","merchant__electronics","Processed"
"O-INI9QA3C","merchant__clothing","Processed"
"O-POXKGQ1N","merchant__bigboxretailer","Processed"
