"RETURN_ID","ORDER__ORDER_ID","PRODUCT__PRODUCT_ID","CUSTOMER__CUSTOMER_ID","RETURN_UNIT_COST","RETURN_UNIT_QUANTITY","WDF__CLIENT_ID","RETURN_UNIT_PAID_AMOUNT","DATE","RETURN_DATE"
"R-HSKSHXNL","O-HUHSPF03","P-OLW0TSI8","C-GKNNXW6I","222.71","9","merchant__clothing","339.78000000000003","2020-11-03 12-39-13","2020-11-03 12-39-13"
"R-HOPGL2V7","O-3J84KRJG","P-BY801X6C","C-7D4RZZ06","148.57","7","merchant__clothing","257.32","2020-11-04 11-42-18","2020-11-04 11-42-18"
"R-47BL3EBJ","O-U637FTR2","P-SOZUA4Z4","C-J23LB4N0","301.79","1","merchant__clothing","720.35","2020-11-05 14-26-01","2020-11-05 14-26-01"
"R-GKTM3OJC","O-YR667578","P-BDUFVBWI","C-6MRD1DJ3","616.39","8","merchant__electronics","720.12","2020-11-06 19-22-48","2020-11-06 19-22-48"
"R-GXNUD695","O-7K9VJP2Q","P-64SCMZTI","C-P1OGO4GB","484.31","8","merchant__electronics","868.25","2020-11-06 20-13-45","2020-11-06 20-13-45"
"R-8VC8CLHQ","O-7ELSE53U","P-97ETQLGE","C-2RJMWIR7","304.94","7","merchant__electronics","276.97","2020-11-06 23-19-05","2020-11-06 23-19-05"
"R-E40KKJEO","O-7K9VJP2Q","P-B15KLNVG","C-P1OGO4GB","639.37","2","merchant__electronics","798.47","2020-11-07 11-10-03","2020-11-07 11-10-03"
"R-FEIK3J1W","O-G4MXBF12","P-XAYNR0T6","C-ZAUTSDDU","594.6","9","merchant__bigboxretailer","596.38","2020-11-08 00-35-56","2020-11-08 00-35-56"
"R-KJOBIP9E","O-FPDVS4YU","P-2U6BJ11K","C-ZZURYR9D","240.9","6","merchant__electronics","568.53","2020-11-08 01-52-01","2020-11-08 01-52-01"
"R-Z01DDCSG","O-EU3W9D3S","P-64SCMZTI","C-4F7MP1Q9","524.76","5","merchant__electronics","543.24","2020-11-08 09-36-02","2020-11-08 09-36-02"
"R-HVUF3QS8","O-LQZFGOF8","P-0PXKVG0N","C-U0JAXHTO","13.79","7","merchant__electronics","448.68","2020-11-09 02-18-12","2020-11-09 02-18-12"
"R-V97MDEHB","O-G1RPT72S","P-V8ZAOFH6","C-6MRD1DJ3","246.76","1","merchant__electronics","164.45000000000002","2020-11-09 08-30-31","2020-11-09 08-30-31"
"R-3VVADP8C","O-5KL9BHY5","P-512NIRCS","C-2RJMWIR7","302.68","5","merchant__electronics","393.97","2020-11-09 16-48-44","2020-11-09 16-48-44"
"R-FXK5SL4M","O-HUHSPF03","P-CYG3KGYG","C-GKNNXW6I","11.49","7","merchant__clothing","21.690000000000005","2020-11-09 21-34-44","2020-11-09 21-34-44"
"R-NTKSFO91","O-FM4CI4D5","P-0PXKVG0N","C-G8RTRE4M","44.07","8","merchant__electronics","933.14","2020-11-10 11-48-27","2020-11-10 11-48-27"
"R-IBG15Q31","O-73H39567","P-WQMXKEGP","C-XD9W719E","14.8","7","merchant__bigboxretailer","15.73","2020-11-10 12-46-22","2020-11-10 12-46-22"
