"MONTHLY_INVENTORY_ID","PRODUCT__PRODUCT_ID","INVENTORY_MONTH","MONTHLY_QUANTITY_EOM","WDF__CLIENT_ID","MONTHLY_QUANTITY_BOM","DATE"
"f65b1ad4897ed0e99aaf1c0dec875acb","75","2022-10-01","2.00","merchant__clothing","9.00","2022-10-22 00:00:00.000"
"e4ed3cb92039bcdd852dbb0cddf20de2","48","2021-05-01","3.00","merchant__clothing","8.00","2021-05-24 00:00:00.000"
"6e78e6d5118d6dbf491d9192c5e28c22","1","2021-09-01","4.00","merchant__clothing","0.00","2021-09-21 00:00:00.000"
"44167e5de464f889cdbdafcc847dea19","18","2022-01-01","4.00","merchant__clothing","11.00","2022-01-22 00:00:00.000"
"fe0ccad6162996b5e82ceeda289a48a5","51","2020-09-01","5.00","merchant__clothing","0.00","2020-09-21 00:00:00.000"
"626ea963a5dc49f33188bdc891e5213f","41","2022-05-01","6.00","merchant__bigboxretailer","8.00","2022-05-24 00:00:00.000"
"ea21a32ef183c3507ebf0a60e0d7a478","82","2021-09-01","7.00","merchant__clothing","19.00","2021-09-21 00:00:00.000"
"45f7afb2961e900c7617b26bd2a7b4bb","42","2022-03-01","7.00","","17.00","2022-03-24 00:00:00.000"
"bf7c6b8cc03d7538bee52eac895fe2d6","73","2021-01-01","9.00","merchant__clothing","13.00","2021-01-22 00:00:00.000"
"544f1341c1b8a1da2195abd5f1d1ca22","51","2022-10-01","9.00","merchant__clothing","30.00","2022-10-22 00:00:00.000"
"dee3793cb1edc31647173efe0b5b1590","78","2020-06-01","10.00","","9.00","2020-06-23 00:00:00.000"
"c997bf23ec078e6cce979d5c9c17b9b1","58","2019-12-01","7.00","merchant__clothing","18.00","2019-12-22 00:00:00.000"
"c85a5cf551830296aaae6e0cf205ebbe","40","2021-04-01","11.00","merchant__clothing","17.00","2021-04-23 00:00:00.000"
"ca904e1f561eed2028593625795cff3d","11","2022-07-01","19.00","merchant__bigboxretailer","9.00","2022-07-22 00:00:00.000"
"15dce62c3ab796c15106a87a5356b0ec","46","2022-04-01","8.00","merchant__clothing","20.00","2022-04-23 00:00:00.000"
"a086237c127090c9ed9113c4343a2ef7","74","2022-04-01","9.00","merchant__bigboxretailer","34.00","2022-04-23 00:00:00.000"
"c37203b9b7c4a4b85236b0a8326205de","42","2021-09-01","10.00","","12.00","2021-09-21 00:00:00.000"
"d9346455d687738f01df0a950be8dc89","65","2022-05-01","11.00","merchant__bigboxretailer","28.00","2022-05-24 00:00:00.000"
"bd955a366a9ffbc70699225984f7b1a3","90","2022-08-01","11.00","merchant__clothing","9.00","2022-08-22 00:00:00.000"
"06f27e6d206aad810276139d69794f5b","67","2021-10-01","14.00","merchant__clothing","13.00","2021-10-22 00:00:00.000"
"fb6b724d724285414b08687d0a4260e6","90","2020-08-01","15.00","merchant__clothing","10.00","2020-08-22 00:00:00.000"
"e1fd628287fcffec7db614d9dc44257f","1","2022-10-01","12.00","merchant__clothing","31.00","2022-10-22 00:00:00.000"
"08c12b4314bb1ffe8ba77611b167cdba","45","2021-03-01","5.00","merchant__clothing","22.00","2021-03-24 00:00:00.000"
"5468595d5df6b0c978ce4d2697164f30","67","2022-09-01","5.00","merchant__clothing","20.00","2022-09-21 00:00:00.000"
"6554c9ea8b6bfcd977e1e42bc575b749","91","2021-07-01","8.00","merchant__clothing","3.00","2021-07-22 00:00:00.000"
"83465a3a3bf122c247eb485d9848d893","41","2021-08-01","9.00","merchant__bigboxretailer","14.00","2021-08-22 00:00:00.000"
"4642ac5013bed9ff38412342c413d969","55","2022-01-01","10.00","merchant__clothing","19.00","2022-01-22 00:00:00.000"
"cfbd97efc2285626835d47c748292a0c","68","2021-11-01","5.00","merchant__bigboxretailer","7.00","2021-11-21 00:00:00.000"
"d941aeaa48d2ecac2d3b8bfd788ef699","42","2021-05-01","8.00","","12.00","2021-05-24 00:00:00.000"
"ab5f2c41731d7edb51994d43331fb1a8","41","2021-11-01","11.00","merchant__bigboxretailer","21.00","2021-11-21 00:00:00.000"
"51af336eb0a3b0d40d6d6d58a9ffc848","42","2021-01-01","12.00","","7.00","2021-01-22 00:00:00.000"
"bc3e1dff0019e213f7dd05a1a26cd8b6","90","2020-12-01","7.00","merchant__clothing","9.00","2020-12-22 00:00:00.000"
