"ORDER_ID","WDF__CLIENT_ID","ORDER_STATUS"
"4947","merchant__clothing","Processed"
"4948","merchant__clothing","Processed"
"4949","merchant__clothing","Processed"
"4950","merchant__clothing","Processed"
"4950","merchant__bigboxretailer","Processed"
"4951","merchant__clothing","Processed"
"4952","merchant__clothing","Processed"
"4953","merchant__clothing","Processed"
"4954","merchant__clothing","Processed"
"4955","merchant__clothing","Processed"
"4956","merchant__clothing","Processed"
"4957","merchant__clothing","Processed"
"4958","merchant__clothing","Processed"
"4959","merchant__clothing","Processed"
"4960","merchant__clothing","Processed"
"4961","merchant__clothing","Processed"
"4962","merchant__clothing","Processed"
"4963","merchant__bigboxretailer","Processed"
"4964","merchant__bigboxretailer","Processed"
"4965","merchant__clothing","Processed"
"4966","merchant__clothing","Processed"
"4967","merchant__clothing","Processed"
"4968","merchant__bigboxretailer","Processed"
"4969","merchant__bigboxretailer","Processed"
"4970","merchant__bigboxretailer","Processed"
"4971","merchant__clothing","Processed"
"4972","merchant__bigboxretailer","Processed"
"4973","merchant__bigboxretailer","Processed"
"4974","merchant__clothing","Processed"
"4975","merchant__clothing","Processed"
"4976","merchant__clothing","Processed"
"4976","merchant__bigboxretailer","Processed"
"4977","merchant__clothing","Processed"
"4978","merchant__clothing","Processed"
"4979","merchant__clothing","Processed"
"4980","merchant__bigboxretailer","Processed"
"4981","merchant__bigboxretailer","Processed"
"4982","merchant__bigboxretailer","Processed"
"4983","merchant__bigboxretailer","Processed"
"4984","merchant__bigboxretailer","Processed"
"4985","merchant__clothing","Processed"
"4986","merchant__clothing","Processed"
"4987","merchant__clothing","Processed"
"4988","merchant__clothing","Processed"
"4989","merchant__clothing","Processed"
"4990","merchant__bigboxretailer","Processed"
"4991","merchant__clothing","Processed"
"4992","merchant__clothing","Processed"
"4993","merchant__bigboxretailer","Processed"
"4994","merchant__clothing","Processed"
"4995","merchant__clothing","Processed"
"4996","merchant__clothing","Processed"
"4997","merchant__clothing","Processed"
"4998","merchant__clothing","Processed"
"4998","merchant__bigboxretailer","Processed"
"4999","merchant__clothing","Processed"
"5000","merchant__bigboxretailer","Processed"
"5001","merchant__bigboxretailer","Processed"
"5002","merchant__clothing","Processed"
"5003","merchant__clothing","Processed"
"5004","merchant__bigboxretailer","Processed"
"5005","merchant__bigboxretailer","Processed"
"5006","merchant__clothing","Processed"
"5007","merchant__bigboxretailer","Processed"
"5008","merchant__bigboxretailer","Processed"
"5009","merchant__bigboxretailer","Processed"
"5010","merchant__bigboxretailer","Processed"
"5011","merchant__clothing","Processed"
"5012","merchant__clothing","Processed"
"5013","merchant__clothing","Processed"
"5014","merchant__clothing","Processed"
"5015","merchant__clothing","Processed"
"5016","merchant__bigboxretailer","Processed"
"5017","merchant__bigboxretailer","Processed"
"5018","merchant__clothing","Processed"
"5019","merchant__clothing","Processed"
"5020","merchant__clothing","Processed"
"5020","merchant__bigboxretailer","Processed"
"5021","merchant__clothing","Processed"
"5022","merchant__clothing","Processed"
"5023","merchant__clothing","Processed"
"5023","merchant__bigboxretailer","Processed"
"5024","merchant__clothing","Processed"
"5025","merchant__bigboxretailer","Processed"
"5026","merchant__clothing","Processed"
"5027","merchant__clothing","Processed"
"5028","merchant__clothing","Processed"
"5029","merchant__bigboxretailer","Processed"
"5030","merchant__clothing","Processed"
"5030","merchant__bigboxretailer","Processed"
"5031","merchant__clothing","Processed"
"5032","merchant__clothing","Processed"
"5032","merchant__bigboxretailer","Processed"
"5033","merchant__bigboxretailer","Processed"
"5034","merchant__clothing","Processed"
"5035","merchant__clothing","Processed"
"5036","merchant__clothing","Processed"
"5037","merchant__clothing","Processed"
"5038","merchant__bigboxretailer","Processed"
"5039","merchant__clothing","Processed"
"5040","merchant__clothing","Processed"
"5041","merchant__clothing","Processed"
"5042","merchant__clothing","Processed"
"5043","merchant__clothing","Processed"
"5044","merchant__clothing","Processed"
"5045","merchant__clothing","Processed"
"5046","merchant__clothing","Processed"
"5047","merchant__clothing","Processed"
"5048","merchant__bigboxretailer","Processed"
"5049","merchant__clothing","Processed"
"5050","merchant__clothing","Processed"
"5051","merchant__bigboxretailer","Processed"
"5052","merchant__clothing","Processed"
"5053","merchant__bigboxretailer","Processed"
"5054","merchant__clothing","Processed"
"5054","merchant__bigboxretailer","Processed"
"5055","merchant__clothing","Processed"
"5056","merchant__bigboxretailer","Processed"
"5057","merchant__clothing","Processed"
"5058","merchant__clothing","Processed"
"5059","merchant__clothing","Processed"
"5060","merchant__clothing","Processed"
"5061","merchant__bigboxretailer","Processed"
"5062","merchant__clothing","Processed"
"5063","merchant__clothing","Processed"
"5064","merchant__clothing","Processed"
"5065","merchant__clothing","Processed"
"5066","merchant__clothing","Processed"
"5067","merchant__clothing","Processed"
"5068","merchant__clothing","Processed"
"5069","merchant__clothing","Processed"
"5070","merchant__bigboxretailer","Processed"
"5071","merchant__clothing","Processed"
"5072","merchant__clothing","Processed"
"5073","merchant__clothing","Processed"
"5074","merchant__clothing","Processed"
"5075","merchant__clothing","Processed"
"5076","merchant__clothing","Processed"
"5077","merchant__bigboxretailer","Processed"
"5078","merchant__bigboxretailer","Processed"
"5079","merchant__clothing","Processed"
"5080","merchant__clothing","Processed"
"5081","merchant__bigboxretailer","Processed"
"5082","merchant__clothing","Processed"
"5083","merchant__clothing","Processed"
"5084","merchant__bigboxretailer","Processed"
"5085","merchant__clothing","Processed"
"5086","merchant__clothing","Processed"
"5086","merchant__bigboxretailer","Processed"
"5087","merchant__clothing","Processed"
"5087","merchant__bigboxretailer","Processed"
"5088","merchant__bigboxretailer","Processed"
"5089","merchant__clothing","Processed"
"5090","merchant__clothing","Processed"
"5091","merchant__clothing","Processed"
"5092","merchant__clothing","Processed"
"5093","merchant__clothing","Processed"
"5094","merchant__clothing","Processed"
"5094","merchant__bigboxretailer","Processed"
"5095","merchant__clothing","Processed"
"5096","merchant__clothing","Processed"
"5097","merchant__bigboxretailer","Processed"
"5098","merchant__bigboxretailer","Processed"
"5099","merchant__bigboxretailer","Processed"
"5100","merchant__bigboxretailer","Processed"
"5101","merchant__bigboxretailer","Processed"
"5102","merchant__clothing","Processed"
"5103","merchant__clothing","Processed"
"5104","merchant__bigboxretailer","Processed"
"5105","merchant__clothing","Processed"
"5106","merchant__clothing","Processed"
"5107","merchant__clothing","Processed"
"5107","merchant__bigboxretailer","Processed"
"5108","merchant__clothing","Processed"
"5109","merchant__clothing","Processed"
"5109","merchant__bigboxretailer","Processed"
"5110","merchant__clothing","Processed"
"5111","merchant__clothing","Processed"
"5112","merchant__clothing","Processed"
"5113","merchant__clothing","Processed"
"5114","merchant__clothing","Processed"
"5115","merchant__clothing","Processed"
"5116","merchant__clothing","Processed"
"5117","merchant__bigboxretailer","Processed"
"5118","merchant__clothing","Processed"
"5119","merchant__bigboxretailer","Processed"
"5120","merchant__clothing","Processed"
"5121","merchant__bigboxretailer","Processed"
"5122","merchant__bigboxretailer","Processed"
"5123","merchant__clothing","Processed"
"5124","merchant__clothing","Processed"
"5125","merchant__clothing","Processed"
"5126","merchant__clothing","Processed"
"5127","merchant__bigboxretailer","Processed"
"5128","merchant__clothing","Processed"
"5128","merchant__bigboxretailer","Processed"
"5129","merchant__bigboxretailer","Processed"
"5130","merchant__clothing","Processed"
"5131","merchant__clothing","Processed"
"5132","merchant__clothing","Processed"
"5133","merchant__clothing","Processed"
"5134","merchant__clothing","Processed"
"5135","merchant__clothing","Processed"
"5136","merchant__clothing","Processed"
"5137","merchant__clothing","Processed"
"4951","merchant__electronics","Processed"
"4952","merchant__electronics","Processed"
"4955","merchant__electronics","Processed"
"4957","merchant__electronics","Processed"
"4960","merchant__electronics","Processed"
"4962","merchant__electronics","Processed"
"4965","merchant__electronics","Processed"
"4966","merchant__electronics","Processed"
"4967","merchant__electronics","Processed"
"4977","merchant__electronics","Processed"
"4985","merchant__electronics","Processed"
"4992","merchant__electronics","Processed"
"4997","merchant__electronics","Processed"
"4999","merchant__electronics","Processed"
"5003","merchant__electronics","Processed"
"5012","merchant__electronics","Processed"
"5022","merchant__electronics","Processed"
"5027","merchant__electronics","Processed"
"5031","merchant__electronics","Processed"
"5035","merchant__electronics","Processed"
"5042","merchant__electronics","Processed"
"5043","merchant__electronics","Processed"
"5046","merchant__electronics","Processed"
"5049","merchant__electronics","Processed"
"5050","merchant__electronics","Processed"
"5058","merchant__electronics","Processed"
"5060","merchant__electronics","Processed"
"5062","merchant__electronics","Processed"
"5064","merchant__electronics","Processed"
"5065","merchant__electronics","Processed"
"5068","merchant__electronics","Processed"
"5069","merchant__electronics","Processed"
"5074","merchant__electronics","Processed"
"5075","merchant__electronics","Processed"
"5083","merchant__electronics","Processed"
"5091","merchant__electronics","Processed"
"5095","merchant__electronics","Processed"
"5096","merchant__electronics","Processed"
"5103","merchant__electronics","Processed"
"5105","merchant__electronics","Processed"
"5106","merchant__electronics","Processed"
"5108","merchant__electronics","Processed"
"5116","merchant__electronics","Processed"
"5132","merchant__electronics","Processed"
"5133","merchant__electronics","Processed"
"5135","merchant__electronics","Processed"
"5136","merchant__electronics","Processed"
"5138","merchant__electronics","Processed"
"5138","merchant__clothing","Processed"
"5139","merchant__clothing","Processed"
"5140","merchant__clothing","Processed"
"5141","merchant__clothing","Processed"
"5142","merchant__clothing","Processed"
"5143","merchant__bigboxretailer","Processed"
"5144","merchant__clothing","Processed"
"5145","merchant__clothing","Processed"
"5146","merchant__bigboxretailer","Processed"
"5147","merchant__clothing","Processed"
"5148","merchant__bigboxretailer","Processed"
"5149","merchant__clothing","Processed"
"5150","merchant__bigboxretailer","Processed"
"5151","merchant__clothing","Processed"
"5152","merchant__bigboxretailer","Processed"
"5153","merchant__clothing","Processed"
"5154","merchant__clothing","Processed"
"5155","merchant__clothing","Processed"
"5156","merchant__clothing","Processed"
"5157","merchant__clothing","Processed"
"5158","merchant__bigboxretailer","Processed"
"5159","merchant__clothing","Processed"
"5160","merchant__clothing","Processed"
"5161","merchant__bigboxretailer","Processed"
"5162","merchant__clothing","Processed"
"5162","merchant__bigboxretailer","Processed"
"5163","merchant__clothing","Processed"
"5164","merchant__bigboxretailer","Processed"
"5165","merchant__clothing","Processed"
"5166","merchant__clothing","Processed"
"5167","merchant__clothing","Processed"
"5168","merchant__clothing","Processed"
"5169","merchant__clothing","Processed"
"5170","merchant__clothing","Processed"
"5171","merchant__clothing","Processed"
"5172","merchant__clothing","Processed"
"5173","merchant__clothing","Processed"
"5174","merchant__clothing","Processed"
"5175","merchant__clothing","Processed"
"5176","merchant__bigboxretailer","Processed"
"5177","merchant__clothing","Processed"
"5178","merchant__clothing","Processed"
"5179","merchant__clothing","Processed"
"5180","merchant__clothing","Processed"
"5181","merchant__bigboxretailer","Processed"
"5182","merchant__bigboxretailer","Processed"
"5183","merchant__clothing","Processed"
"5184","merchant__clothing","Processed"
"5185","merchant__clothing","Processed"
"5186","merchant__clothing","Processed"
"5187","merchant__clothing","Processed"
"5187","merchant__bigboxretailer","Processed"
"5188","merchant__clothing","Processed"
"5189","merchant__bigboxretailer","Processed"
"5190","merchant__clothing","Processed"
"5191","merchant__clothing","Processed"
"5192","merchant__bigboxretailer","Processed"
"5193","merchant__clothing","Processed"
"5194","merchant__clothing","Processed"
"5194","merchant__bigboxretailer","Processed"
"5195","merchant__clothing","Processed"
"5196","merchant__clothing","Processed"
"5197","merchant__clothing","Processed"
"5198","merchant__clothing","Processed"
"5199","merchant__clothing","Processed"
"5200","merchant__clothing","Processed"
"5201","merchant__bigboxretailer","Processed"
"5202","merchant__clothing","Processed"
"5203","merchant__clothing","Processed"
"5204","merchant__clothing","Processed"
"5205","merchant__clothing","Processed"
"5206","merchant__bigboxretailer","Processed"
"5207","merchant__clothing","Processed"
"5208","merchant__bigboxretailer","Processed"
"5209","merchant__bigboxretailer","Processed"
"5210","merchant__clothing","Processed"
"5211","merchant__bigboxretailer","Processed"
"5212","merchant__bigboxretailer","Processed"
"5213","merchant__bigboxretailer","Processed"
"5214","merchant__clothing","Processed"
"5215","merchant__clothing","Processed"
"5215","merchant__bigboxretailer","Processed"
"5216","merchant__clothing","Processed"
"5217","merchant__clothing","Processed"
"5218","merchant__clothing","Processed"
"5219","merchant__clothing","Processed"
"5220","merchant__clothing","Processed"
"5221","merchant__bigboxretailer","Processed"
"5222","merchant__bigboxretailer","Processed"
"5223","merchant__clothing","Processed"
"5224","merchant__clothing","Processed"
"5225","merchant__clothing","Processed"
"5226","merchant__bigboxretailer","Processed"
"5227","merchant__clothing","Processed"
"5228","merchant__bigboxretailer","Processed"
"5229","merchant__clothing","Processed"
"5229","merchant__bigboxretailer","Processed"
"5230","merchant__clothing","Processed"
"5231","merchant__bigboxretailer","Processed"
"5232","merchant__clothing","Processed"
"5233","merchant__clothing","Processed"
"5234","merchant__clothing","Processed"
"5235","merchant__clothing","Processed"
"5236","merchant__clothing","Processed"
"5237","merchant__clothing","Processed"
