"ORDER_LINE_ID","ORDER__ORDER_ID","PRODUCT__PRODUCT_ID","CUSTOMER__CUSTOMER_ID","ORDER_UNIT_PRICE","ORDER_UNIT_QUANTITY","WDF__CLIENT_ID","ORDER_UNIT_DISCOUNT","ORDER_UNIT_COST","DATE","ORDER_DATE","CUSTOMER_AGE"
"r1p19YzluSQZosgpQpCV4vC695W87Dbd","1048","36","29","76.99","9.00","merchant__clothing","0.00","40.99","2022-10-06 20:31:00.000","2022-10-06 20:31:00.000","1-3M"
"ZwHzro3OSQYOVYhHnDxAgRhJFt5933vg","1071","80","132","404.99","5.00","merchant__bigboxretailer","0.00","300.99","2022-06-21 21:16:00.000","2022-06-21 21:16:00.000","1-3M"
"DOwmVOB3dQmTg59tr8BmNleV80YmD2eF","1126","88","5","682.99","3.00","merchant__clothing","0.00","503.99","2021-12-04 20:31:00.000","2021-12-04 20:31:00.000","1-3M"
"qalGfOjMjb9pXavy805voUWIbqHJYRsq","177","66","121","628.99","9.00","merchant__bigboxretailer","0.00","393.99","2022-01-21 21:52:00.000","2022-01-21 21:52:00.000","7M+"
"Podyx36H9jMfmeT929qN5I0VL8QIMiqj","183","8","24","273.99","4.00","merchant__bigboxretailer","0.00","139.99","2022-09-16 11:19:00.000","2022-09-16 11:19:00.000","1-3M"
"BaM69mqgXLIlZ7vyaezRxthpRk79HVLL","1232","13","117","100.99","9.00","merchant__clothing","0.00","54.99","2021-09-29 02:41:00.000","2021-09-29 02:41:00.000","7M+"
"g4Pqlbldt0u3DS5UQgnPKefm6QQJfaw5","131","1","100","128.99","1.00","merchant__clothing","0.00","66.99","2022-08-28 14:54:00.000","2022-08-28 14:54:00.000","1-3M"
"CF4vkOzVvyCmVqWy6gd3Ddj8p6MYk5AD","624","25","32","219.99","2.00","merchant__clothing","0.00","111.99","2022-02-16 10:44:00.000","2022-02-16 10:44:00.000","1-3M"
"ycT7vQYHFKcq27TLANaZzgukLzO1bXKS","1354","30","68","98.99","8.00","merchant__clothing","9.90","51.99","2022-01-27 14:51:00.000","2022-01-27 14:51:00.000","7M+"
"QpnqmBqbbRZ4FP4eMOoQBGukJMdrb3Rw","713","53","71","315.99","3.00","merchant__bigboxretailer","0.00","137.99","2021-12-07 12:55:00.000","2021-12-07 12:55:00.000","1-3M"
"5zsZdivn5GCf0GASXXuFG3J7uuM2SBTp","15","17","41","23.99","3.00","merchant__bigboxretailer","0.00","13.99","2022-09-04 21:02:00.000","2022-09-04 21:02:00.000","1-3M"
"XY47GefH0l31Oucvgvd9E7z8GVxqTKpd","1517","78","39","19.99","7.00","merchant__bigboxretailer","0.00","3.99","2022-04-29 22:24:00.000","2022-04-29 22:24:00.000","1-3M"
"ehbWzMLIW9kBlLoZLTqMPQncF3TgZOz5","155","29","46","62.99","3.00","merchant__bigboxretailer","0.00","32.99","2022-04-26 09:23:00.000","2022-04-26 09:23:00.000","1-3M"
"MiaquY1qNRAPF5o6jAeXnUA3YRA0fcFb","348","50","86","691.99","5.00","merchant__bigboxretailer","0.00","511.99","2021-08-30 09:34:00.000","2021-08-30 09:34:00.000","7M+"
"NlFM9m6cz6E35stTNbA2OGCWt43In9B4","785","26","128","279.99","2.00","merchant__clothing","0.00","142.99","2022-03-28 21:29:00.000","2022-03-28 21:29:00.000","4-6M"
"MyCxFFxPZNFS9Hs7lvH0ifIjFeK2XZZd","785","26","128","279.99","2.00","merchant__bigboxretailer","0.00","142.99","2022-03-28 17:50:00.000","2022-03-28 17:50:00.000","4-6M"
"Jdza5tZ45ew2i8pldRQPeWrUmiy7ur3A","1642","40","104","578.99","1.00","merchant__clothing","0.00","477.99","2022-05-10 15:51:00.000","2022-05-10 15:51:00.000","4-6M"
"SALBuowFXKk0FnDadBOrbdRsM7Jbh887","461","2","102","85.99","6.00","merchant__bigboxretailer","0.00","44.99","2022-04-19 23:45:00.000","2022-04-19 23:45:00.000","4-6M"
"offMq8c48dbjUooRLv2tso8cQrpipjad","476","73","53","624.99","4.00","merchant__clothing","0.00","362.99","2022-04-17 20:18:00.000","2022-04-17 20:18:00.000","1-3M"
"hzzO3rzdLDhRVdG8LOtm5erD5tHS6G4T","934","56","105","561.99","1.00","merchant__bigboxretailer","0.00","302.99","2022-03-27 14:49:00.000","2022-03-27 14:49:00.000","4-6M"
"RR71aV2yBSoK224sa17g0LUeQIrZm701","977","25","28","219.99","10.00","merchant__clothing","0.00","111.99","2022-03-08 08:19:00.000","2022-03-08 08:19:00.000","1-3M"
"axQp7NbAzMRHbFOqkkFnECPM8rEmxI6w","1135","81","86","398.99","3.00","merchant__clothing","0.00","300.99","2021-01-20 14:12:00.000","2021-01-20 14:12:00.000","7M+"
"157TWBHag5ZR6jUnjkF2LJdm60bMoqkF","1031","81","10","361.99","2.00","merchant__clothing","0.00","285.32","2020-06-19 22:57:00.000","2020-06-19 22:57:00.000","7M+"
"g2k60lsMmH5yAxcPefVFbe6sdJdkBtJ8","739","54","120","252.99","5.00","merchant__bigboxretailer","0.00","141.99","2022-05-06 00:38:00.000","2022-05-06 00:38:00.000","4-6M"
"Zn5dtmyDmslRrXIUcGw03Rjs9sb1LZ74","5561","85","200","156.99","4.00","merchant__clothing","0.00","89.99","2021-09-30 23:45:00.000","2021-09-30 23:45:00.000","7M+"
"5MtkbNygflISCAcfMYmaC9QrKIwJA2xU","4005","28","37","37.99","8.00","merchant__clothing","0.00","20.99","2022-01-06 19:54:00.000","2022-01-06 19:54:00.000","4-6M"
"qg2BKwhHQmoXU72U5QCmt2XzyfAgUbP2","3756","32","80","51.99","1.00","merchant__bigboxretailer","5.20","28.99","2021-10-10 12:55:00.000","2021-10-10 12:55:00.000","7M+"
"urG9ftb16qEDDxglHi26cqVxk2XOsiL0","5811","43","219","285.99","7.00","merchant__clothing","0.00","240.99","2021-09-17 17:35:00.000","2021-09-17 17:35:00.000","7M+"
"N5S6y43TrcZJAQNKYR8zUfZdwU0lkuUf","6875","45","322","509.99","1.00","merchant__clothing","0.00","348.99","2021-08-24 15:07:00.000","2021-08-24 15:07:00.000","1-3M"
"BYXjhOv2nNXfyi3uwVkgxeWuKMjjijPs","6560","90","288","461.99","5.00","merchant__clothing","0.00","241.99","2021-05-14 21:22:00.000","2021-05-14 21:22:00.000","1-3M"
"S5Va3z6DKFSNV0gecJoOWy28T4POmpZS","497","67","122","611.99","10.00","merchant__clothing","0.00","475.99","2022-06-12 19:43:00.000","2022-06-12 19:43:00.000","4-6M"
"UF6sTHHy4ZHvjR2sHisutK1p2kuQSQv9","1940","26","7","279.99","4.00","merchant__clothing","0.00","142.99","2022-02-15 17:31:00.000","2022-02-15 17:31:00.000","1-3M"
"pkrWULqgmdY9SDP8hcrM0Qs9HM7i4TrC","4056","71","70","219.99","6.00","merchant__bigboxretailer","22.00","22.73","2020-01-29 22:55:00.000","2020-01-29 22:55:00.000","7M+"
"BxNgUNSFDzjzVcdtaPimnEXjVstmzaps","4763","34","109","279.99","9.00","merchant__clothing","0.00","142.99","2022-08-26 21:29:00.000","2022-08-26 21:29:00.000","1-3M"
"ogh0lBaVlHYLRUE70x29aMTDOEl7JbJC","5657","43","207","285.99","2.00","merchant__clothing","0.00","240.99","2021-08-28 07:58:00.000","2021-08-28 07:58:00.000","7M+"
"g49dcBJHaD2cqMRVM4mWvYfbal2sU75b","3537","8","33","273.99","8.00","merchant__bigboxretailer","0.00","139.99","2022-09-19 22:44:00.000","2022-09-19 22:44:00.000","1-3M"
"lJ3w2yoEkoExEhr0wev6bIObXhfVATfo","7656","34","465","279.99","5.00","merchant__clothing","0.00","142.99","2022-09-16 18:29:00.000","2022-09-16 18:29:00.000","1-3M"
"MZ0ZBo7xmBtKkw8Uyk4uxgYPItMfYWq2","4264","18","68","60.99","4.00","merchant__clothing","0.00","32.99","2022-05-15 20:02:00.000","2022-05-15 20:02:00.000","4-6M"
"k5ADw6bNDnC5xKAWWFFupVoPYaDZEZKx","6448","76","277","570.99","3.00","merchant__clothing","0.00","485.99","2022-03-27 10:08:00.000","2022-03-27 10:08:00.000","7M+"
"2SMBk4llfiJ1MxEvkmpWdNn0WJGAwjRJ","597","51","126","208.99","9.00","merchant__clothing","0.00","77.99","2021-03-10 08:41:00.000","2021-03-10 08:41:00.000","7M+"
"ouhwBdhSzgBha34yiSe446ty9sogNrB9","718","58","19","233.99","4.00","merchant__clothing","0.00","204.99","2021-05-16 05:51:00.000","2021-05-16 05:51:00.000","7M+"
"I0AMlrJNIr59c23TKG3IQZfT9Jhm2eca","5438","12","191","200.99","3.00","merchant__clothing","0.00","111.99","2020-09-06 21:33:00.000","2020-09-06 21:33:00.000","1-3M"
"cxcHqUDMlScKA7NCIdyg1KuLGoVZ4Ofw","4882","20","121","28.99","6.00","merchant__bigboxretailer","0.00","16.99","2022-06-29 12:40:00.000","2022-06-29 12:40:00.000","1-3M"
"7Xa0GS60z0p7FaTEkR4C21uXunMzyrjs","6746","40","307","578.99","1.00","merchant__clothing","0.00","477.99","2022-08-28 11:58:00.000","2022-08-28 11:58:00.000","7M+"
"TTwnuagCzQ1GHNmrScFM4CxDKCErasMn","3732","86","85","125.99","4.00","merchant__clothing","0.00","28.52","2020-06-04 12:57:00.000","2020-06-04 12:57:00.000","7M+"
"YMuY0NsxEYXHHCXAWjMnAolPd9dscEhf","57","34","39","279.99","1.00","merchant__clothing","0.00","142.99","2022-02-28 18:36:00.000","2022-02-28 18:36:00.000","1-3M"
"SZ1oKoDAGIgjbo6atmhUjVpLL6myWhbW","3581","66","44","518.99","4.00","merchant__bigboxretailer","0.00","356.55","2020-04-26 20:11:00.000","2020-04-26 20:11:00.000","7M+"
"w5JYTcfhefHIYWH4rr1KETbQt7OSZNhc","824","86","27","152.99","10.00","merchant__bigboxretailer","0.00","31.99","2021-12-21 10:34:00.000","2021-12-21 10:34:00.000","4-6M"
"q9UXirjgGTTYRK6AI6mBrgSVqa35UC8D","7031","50","341","760.99","8.00","merchant__bigboxretailer","0.00","537.99","2021-10-28 09:34:00.000","2021-10-28 09:34:00.000","1-3M"
"pv0OppkeaqicjF17N3bAejK180f2wMAy","6162","26","250","254.99","2.00","merchant__bigboxretailer","0.00","135.99","2021-09-13 20:15:00.000","2021-09-13 20:15:00.000","7M+"
"YRkfgoFvdS5DDOeNbGcoseRVH8KccJJL","192","26","55","279.99","8.00","merchant__bigboxretailer","0.00","142.99","2022-09-29 11:11:00.000","2022-09-29 11:11:00.000","1-3M"
"2D9dflWPhQCoGUlwzPUqubcWncC8OzoK","7012","26","338","279.99","1.00","merchant__clothing","0.00","142.99","2022-10-05 09:23:00.000","2022-10-05 09:23:00.000","7M+"
"MtHkPCVy6sgNYXRscVfoeG2qw8fmWtvO","1015","92","88","430.99","4.00","merchant__bigboxretailer","0.00","231.99","2022-07-03 11:21:00.000","2022-07-03 11:21:00.000","1-3M"
"YDdfyetptFtNH942Rpf4Zm7TStY4Fxh0","1410","87","103","184.99","3.00","merchant__clothing","18.50","143.99","2022-05-14 17:36:00.000","2022-05-14 17:36:00.000","4-6M"
"dlLcVl4UhE506unTGF3R3Xn78I61eGyu","5984","36","235","69.99","2.00","merchant__clothing","0.00","38.99","2021-02-21 16:38:00.000","2021-02-21 16:38:00.000","1-3M"
"ghExQBKgP0xcmrMxxgP73oikD3KFm4ap","1986","25","117","219.99","10.00","merchant__clothing","0.00","111.99","2021-11-09 22:22:00.000","2021-11-09 22:22:00.000","7M+"
"2cJ0WkExt7nm7M9VI4ReJgS7zpDgBpsr","5791","92","217","430.99","3.00","merchant__bigboxretailer","0.00","231.99","2022-10-15 11:32:00.000","2022-10-15 11:32:00.000","7M+"
