"MONTHLY_INVENTORY_ID","PRODUCT__PRODUCT_ID","INVENTORY_MONTH","MONTHLY_QUANTITY_EOM","WDF__CLIENT_ID","MONTHLY_QUANTITY_BOM","DATE"
"M-VXM501VP","P-DCH08DKO","2021-03-01","6383","merchant__clothing","6632","2021-03-01 00:00:00"
"M-HH5853ET","P-OLBJ6P2Q","2021-03-01","6746","merchant__clothing","6990","2021-03-01 00:00:00"
"M-LWXFGSVN","P-NYT9G854","2021-03-01","5514","merchant__clothing","5801","2021-03-01 00:00:00"
"M-C88BHP4M","P-I2TLETFX","2021-03-01","6130","merchant__clothing","6381","2021-03-01 00:00:00"
"M-WEDY87P4","P-9V7XT21A","2021-03-01","6317","merchant__clothing","6582","2021-03-01 00:00:00"
"M-PYP7C2KC","P-81QOFRKJ","2021-03-01","5591","merchant__clothing","5816","2021-03-01 00:00:00"
"M-CB7YQXAS","P-B36DCD6O","2021-03-01","6520","merchant__clothing","6768","2021-03-01 00:00:00"
"M-T9SPWB9P","P-C7GIKNSO","2021-03-01","6350","merchant__clothing","6505","2021-03-01 00:00:00"
"M-6DNHXBOM","P-IF2H5DKO","2021-03-01","6400","merchant__clothing","6571","2021-03-01 00:00:00"
"M-ODGRQX6T","P-23GVT82B","2021-03-01","6550","merchant__clothing","6786","2021-03-01 00:00:00"
"M-5MGCP1D7","P-QPEOUHYE","2021-03-01","5669","merchant__clothing","5861","2021-03-01 00:00:00"
"M-UA16DXA9","P-J2IZGACQ","2021-03-01","6485","merchant__clothing","6707","2021-03-01 00:00:00"
"M-IW4NL80L","P-53R6CRCI","2021-03-01","5650","merchant__clothing","5937","2021-03-01 00:00:00"
"M-2F53A8D8","P-4HV3C9B4","2021-03-01","6487","merchant__clothing","6685","2021-03-01 00:00:00"
"M-UKGP9DGC","P-9DQ2A7N7","2021-03-01","6826","merchant__clothing","7068","2021-03-01 00:00:00"
"M-LAVHXF7T","P-8XJEMA1K","2021-03-01","6164","merchant__clothing","6364","2021-03-01 00:00:00"
"M-RA9OFN5H","P-7ILA6SEB","2021-03-01","6145","merchant__clothing","6391","2021-03-01 00:00:00"
"M-VMYU3IQZ","P-L41YMDA9","2021-03-01","6163","merchant__clothing","6420","2021-03-01 00:00:00"
"M-VM7EDIF9","P-4LDVKV0A","2021-03-01","5508","merchant__clothing","5723","2021-03-01 00:00:00"
"M-ZVN6RH8Q","P-PNLMKR2G","2021-03-01","5657","merchant__clothing","5900","2021-03-01 00:00:00"
"M-2MQ3HKTY","P-UQR68BE5","2021-03-01","5879","merchant__clothing","6042","2021-03-01 00:00:00"
"M-0JF10W5L","P-XCNTUQTG","2021-03-01","6081","merchant__clothing","6290","2021-03-01 00:00:00"
"M-V2SZODE7","P-JXMJ5OSU","2021-03-01","6203","merchant__clothing","6365","2021-03-01 00:00:00"
"M-HX6PUM83","P-UE6DEP3A","2021-03-01","6147","merchant__clothing","6368","2021-03-01 00:00:00"
"M-HLHNPHZH","P-4WS5XOC9","2021-03-01","5717","merchant__clothing","5952","2021-03-01 00:00:00"
"M-DH68UXLD","P-NOBEI1OJ","2021-03-01","6465","merchant__clothing","6788","2021-03-01 00:00:00"
"M-QLEOVF9F","P-F0VT22PT","2021-03-01","5935","merchant__clothing","6187","2021-03-01 00:00:00"
"M-FPWD0CZI","P-MDTERYBK","2021-03-01","6489","merchant__clothing","6702","2021-03-01 00:00:00"
"M-WKO0JWB8","P-OISJONWM","2021-03-01","6112","merchant__clothing","6353","2021-03-01 00:00:00"
"M-N04E71G8","P-0YZP5IVB","2021-03-01","6651","merchant__clothing","6879","2021-03-01 00:00:00"
"M-J21E495H","P-CPTP6N6R","2021-03-01","6205","merchant__clothing","6525","2021-03-01 00:00:00"
"M-IVG8HA8Q","P-6999XT1U","2021-03-01","5973","merchant__clothing","6233","2021-03-01 00:00:00"
"M-R7EK27B4","P-W3NFEYSP","2021-03-01","5977","merchant__clothing","6264","2021-03-01 00:00:00"
"M-QEEE3MC3","P-545QHF99","2021-03-01","6534","merchant__clothing","6843","2021-03-01 00:00:00"
"M-1UVUSMWQ","P-JCUWG5V5","2021-03-01","6122","merchant__clothing","6286","2021-03-01 00:00:00"
"M-XPI8N6MW","P-S7J7YHZ0","2021-03-01","6380","merchant__clothing","6677","2021-03-01 00:00:00"
"M-FSGAWRPM","P-0OTBUH8P","2021-03-01","5617","merchant__clothing","5821","2021-03-01 00:00:00"
"M-P4AXATVK","P-FXDD1UWW","2021-03-01","6075","merchant__clothing","6329","2021-03-01 00:00:00"
"M-BMLKFUYT","P-6HBBJ8BW","2021-03-01","5940","merchant__clothing","6171","2021-03-01 00:00:00"
"M-0QKH28OR","P-VMEAFF5U","2021-03-01","5832","merchant__clothing","6097","2021-03-01 00:00:00"
"M-U5YTQKN1","P-Q4D00TSD","2021-03-01","6094","merchant__clothing","6392","2021-03-01 00:00:00"
"M-3A32CEGV","P-I4RY3K3Z","2021-03-01","6221","merchant__clothing","6434","2021-03-01 00:00:00"
"M-VPSFVD0H","P-K4Y7N6KX","2021-03-01","6248","merchant__clothing","6584","2021-03-01 00:00:00"
"M-VYAQY4WP","P-2UZ1FQ13","2021-03-01","5573","merchant__clothing","5832","2021-03-01 00:00:00"
"M-EMZYLWTQ","P-958M9CCB","2021-03-01","6449","merchant__clothing","6625","2021-03-01 00:00:00"
"M-V4OVDHXX","P-Y52KH6U1","2021-03-01","5327","merchant__clothing","5535","2021-03-01 00:00:00"
"M-HZTX7J5Z","P-7SVHDLDE","2021-03-01","5712","merchant__clothing","5958","2021-03-01 00:00:00"
"M-KNFF895V","P-J604LF4Y","2021-03-01","5800","merchant__clothing","6065","2021-03-01 00:00:00"
"M-JTI1SSTP","P-F93DYKCL","2021-03-01","6109","merchant__clothing","6415","2021-03-01 00:00:00"
"M-75QFAA0H","P-13HQOZMW","2021-03-01","6485","merchant__clothing","6709","2021-03-01 00:00:00"
"M-H1TIXVUV","P-MD0DRLII","2021-03-01","6128","merchant__clothing","6415","2021-03-01 00:00:00"
"M-DED7SQSW","P-GHFXTT6C","2021-03-01","6440","merchant__clothing","6603","2021-03-01 00:00:00"
"M-YK6I0EC4","P-9FEGI646","2021-03-01","759","merchant__clothing","759","2021-03-01 00:00:00"
"M-GNSLO5BQ","P-XBRXFEOI","2021-03-01","97","merchant__clothing","97","2021-03-01 00:00:00"
"M-0N5MPI9P","P-PJ4K82WD","2021-03-01","908","merchant__clothing","908","2021-03-01 00:00:00"
"M-XFYJW4PD","P-U5WWHWX4","2021-03-01","252","merchant__clothing","252","2021-03-01 00:00:00"
"M-YZXAABQN","P-RGBICD40","2021-03-01","786","merchant__clothing","786","2021-03-01 00:00:00"
"M-91D7POUC","P-X3N8FQ2N","2021-03-01","345","merchant__clothing","345","2021-03-01 00:00:00"
"M-7DXWOBSV","P-VYEDOWEC","2021-03-01","254","merchant__clothing","254","2021-03-01 00:00:00"
"M-1HH4XLYK","P-6QA86CVO","2021-03-01","293","merchant__clothing","293","2021-03-01 00:00:00"
"M-DNTZPU20","P-9I3INKMP","2021-03-01","530","merchant__clothing","530","2021-03-01 00:00:00"
