"RETURN_ID","ORDER__ORDER_ID","PRODUCT__PRODUCT_ID","CUSTOMER__CUSTOMER_ID","RETURN_UNIT_COST","RETURN_UNIT_QUANTITY","WDF__CLIENT_ID","RETURN_UNIT_PAID_AMOUNT","DATE","RETURN_DATE"
"R-5T9JOWJB","O-D2GLJF31","P-I2TLETFX","C-FXGML6OG","422.13","1","merchant__electronics","298.67","2021-03-02 18:14:27","2021-03-02 18:14:27"
"R-SMWQ8ASI","O-0B93OI2V","P-OLBJ6P2Q","C-FXGML6OG","799.09","8","merchant__electronics","933.22","2021-03-02 21:03:13","2021-03-02 21:03:13"
"R-ZDKK7SRL","O-8AF8F5UV","P-K4Y7N6KX","C-QYPUOCMC","92.51","10","merchant__clothing","130.07","2021-03-03 07:21:28","2021-03-03 07:21:28"
"R-I6JT91SS","O-TDFJ6DMY","P-PJ4K82WD","C-PLM10UG2","194.06","9","merchant__bigboxretailer","306.35","2021-03-03 15:26:12","2021-03-03 15:26:12"
"R-PKIHNXNH","O-TDFJ6DMY","P-OFQJ99CC","C-PLM10UG2","348.25","7","merchant__bigboxretailer","458.7","2021-03-03 16:42:17","2021-03-03 16:42:17"
"R-4S9JH5NL","O-D2GLJF31","P-9FEGI646","C-FXGML6OG","414.26","9","merchant__electronics","508.62","2021-03-03 17:00:26","2021-03-03 17:00:26"
"R-4Z56CL91","O-R0M9M6F0","P-W3NFEYSP","C-9RHGRVHY","275.93","10","merchant__clothing","910.53","2021-03-03 18:15:00","2021-03-03 18:15:00"
"R-8DK5ES24","O-0W5BDF8F","P-QQAHQNSN","C-PLM10UG2","110.63","8","merchant__bigboxretailer","128.94","2021-03-04 02:59:22","2021-03-04 02:59:22"
"R-8ZW5VOZP","O-0W5BDF8F","P-R199VPU5","C-PLM10UG2","575.35","2","merchant__bigboxretailer","490.61","2021-03-04 03:06:31","2021-03-04 03:06:31"
"R-CC0XW1CP","O-8AF8F5UV","P-958M9CCB","C-QYPUOCMC","85.34","2","merchant__clothing","142.38","2021-03-04 08:43:36","2021-03-04 08:43:36"
"R-VGW8RGFO","O-XLTWS7JD","P-ZSUZNR5J","C-WNKEW9DX","258.57","8","merchant__bigboxretailer","493.15","2021-03-04 10:37:10","2021-03-04 10:37:10"
"R-CTCA452Z","O-A2ILN5X1","P-OT4Y3DYX","C-QYPUOCMC","444.91","9","merchant__clothing","384.09","2021-03-05 00:29:58","2021-03-05 00:29:58"
"R-WA0F6SCH","O-0W5BDF8F","P-XFWA7KD1","C-PLM10UG2","282.52","7","merchant__bigboxretailer","528.91","2021-03-05 01:41:55","2021-03-05 01:41:55"
"R-8OS9SPDE","O-N68H0PAT","P-NYT9G854","C-S9DTHGDZ","248.9","2","merchant__electronics","330.04","2021-03-05 09:17:35","2021-03-05 09:17:35"
"R-ZAFU3CJD","O-BI5G3TN4","P-RB927QRK","C-WNKEW9DX","74.33","9","merchant__bigboxretailer","73.38","2021-03-05 12:15:36","2021-03-05 12:15:36"
"R-BY4EEN4J","O-5L3NNMV3","P-B36DCD6O","C-B9I5X0IT","136.51","7","merchant__electronics","104.93","2021-03-05 13:48:22","2021-03-05 13:48:22"
"R-T5EUHNZY","O-JQQ6I0ZH","P-X3N8FQ2N","C-WNKEW9DX","99.92","7","merchant__bigboxretailer","409.99","2021-03-05 16:06:17","2021-03-05 16:06:17"
"R-3QQ3UFMH","O-GOBSXI1S","P-XBRXFEOI","C-S9DTHGDZ","242.42","10","merchant__electronics","733.69","2021-03-05 19:19:43","2021-03-05 19:19:43"
"R-CTP3XXWI","O-SIQ8Z9O0","P-J2IZGACQ","C-F3HRMP2A","30.12","1","merchant__electronics","332.96","2021-03-05 21:11:38","2021-03-05 21:11:38"
"R-FSF1BSRV","O-VPSDLPWN","P-8XJEMA1K","C-FXGML6OG","45.61","3","merchant__electronics","87.76","2021-03-06 01:49:39","2021-03-06 01:49:39"
"R-SW7GBGIL","O-W4XWPTQT","P-J2IZGACQ","C-ZA9AB6ST","271.76","10","merchant__electronics","653.66","2021-03-06 10:46:45","2021-03-06 10:46:45"
"R-80I6X5X4","O-XLTWS7JD","P-HQ9Q1CR1","C-WNKEW9DX","62.46","5","merchant__bigboxretailer","440.43","2021-03-06 18:31:39","2021-03-06 18:31:39"
"R-8Z5B1HND","O-SIQ8Z9O0","P-VYEDOWEC","C-F3HRMP2A","102.35","7","merchant__electronics","246.46","2021-03-06 21:16:45","2021-03-06 21:16:45"
"R-CI35ADSZ","O-789UHQTV","P-U5WWHWX4","C-WNKEW9DX","183.22","3","merchant__bigboxretailer","229.55","2021-03-07 09:10:30","2021-03-07 09:10:30"
"R-LZRG02K2","O-W4XGEFB4","P-9I3INKMP","C-F3HRMP2A","175.13","7","merchant__electronics","260.13","2021-03-07 12:18:45","2021-03-07 12:18:45"
"R-IZAD741V","O-VH7IQE16","P-X3N8FQ2N","C-ZA9AB6ST","189.88","2","merchant__electronics","246.76","2021-03-07 12:35:45","2021-03-07 12:35:45"
"R-YMGUFDMO","O-54LNAHQX","P-Q4D00TSD","C-QYPUOCMC","60.77","5","merchant__clothing","108.11","2021-03-07 18:28:23","2021-03-07 18:28:23"
"R-6RIVLLXA","O-PHQEB7LN","P-U5WWHWX4","C-ZA9AB6ST","458.46","4","merchant__electronics","400.94","2021-03-07 21:17:26","2021-03-07 21:17:26"
"R-EZFSVP7M","O-QJJW7AO4","P-4LDVKV0A","C-S9DTHGDZ","40.94","1","merchant__electronics","627.83","2021-03-07 21:42:22","2021-03-07 21:42:22"
"R-M9G2ZWPB","O-KWCKRG8K","P-9DQ2A7N7","C-S2S4YP64","481.13","8","merchant__electronics","681.6","2021-03-08 06:39:07","2021-03-08 06:39:07"
"R-H701X028","O-CUMXRDS6","P-9FEGI646","C-FXGML6OG","782.9","9","merchant__electronics","884.19","2021-03-08 09:27:33","2021-03-08 09:27:33"
"R-JX1LC523","O-A2OWPUPC","P-OLBJ6P2Q","C-QYPUOCMC","17.73","8","merchant__clothing","46.24","2021-03-08 11:37:24","2021-03-08 11:37:24"
"R-ZO9A9EBM","O-KWCKRG8K","P-4HV3C9B4","C-S2S4YP64","223.8","5","merchant__electronics","805.53","2021-03-08 12:10:28","2021-03-08 12:10:28"
"R-S9ZW2KPA","O-GOBSXI1S","P-PNLMKR2G","C-S9DTHGDZ","180.08","8","merchant__electronics","201.7","2021-03-08 17:20:25","2021-03-08 17:20:25"
"R-WGHZ67BU","O-X7ARJ7VR","P-RGBICD40","C-S9DTHGDZ","470.68","1","merchant__electronics","548.63","2021-03-09 00:56:55","2021-03-09 00:56:55"
"R-T0TSIQG5","O-D2GLJF31","P-6QA86CVO","C-FXGML6OG","86.66","10","merchant__electronics","453.95","2021-03-09 14:56:24","2021-03-09 14:56:24"
"R-BGQK49BN","O-E4P0L6U6","P-RGBICD40","C-N8I53LYH","332.38","3","merchant__bigboxretailer","924.39","2021-03-09 16:44:34","2021-03-09 16:44:34"
"R-HI5AFLNB","O-E4P0L6U6","P-GLNFCVCU","C-N8I53LYH","292.06","4","merchant__bigboxretailer","260.94","2021-03-09 17:01:39","2021-03-09 17:01:39"
"R-L6K3P69V","O-O64LVRS5","P-4LDVKV0A","C-FXGML6OG","822.7","1","merchant__electronics","782.42","2021-03-09 18:16:04","2021-03-09 18:16:04"
"R-21XFHX4V","O-SIQ8Z9O0","P-B36DCD6O","C-F3HRMP2A","149.68","2","merchant__electronics","265.74","2021-03-09 19:58:26","2021-03-09 19:58:26"
"R-KMFHLGJ4","O-VNGA61CF","P-J2IZGACQ","C-ZA9AB6ST","399.86","10","merchant__electronics","487.14","2021-03-09 21:32:51","2021-03-09 21:32:51"
"R-JZD7WF9C","O-DT5RASFG","P-PNLMKR2G","C-ZA9AB6ST","234.09","5","merchant__electronics","229.52","2021-03-09 21:40:31","2021-03-09 21:40:31"
"R-8XD5ZRSJ","O-CUMXRDS6","P-IF2H5DKO","C-FXGML6OG","53.57","4","merchant__electronics","109.29","2021-03-09 21:58:59","2021-03-09 21:58:59"
"R-JRKLYGXD","O-789UHQTV","P-FV6MI4XX","C-WNKEW9DX","36.92","4","merchant__bigboxretailer","398.49","2021-03-10 08:28:42","2021-03-10 08:28:42"
"R-E1V4L0B0","O-82TM2OLZ","P-X3N8FQ2N","C-1G066F3H","53.11","9","merchant__electronics","181.06","2021-03-10 09:52:08","2021-03-10 09:52:08"
"R-CNSIREOX","O-2PC9EDSR","P-9FEGI646","C-FXGML6OG","199.38","7","merchant__electronics","201.04","2021-03-10 13:44:20","2021-03-10 13:44:20"
"R-HGDOD2G6","O-ZZUN7DJX","P-4HV3C9B4","C-B9I5X0IT","152.38","1","merchant__electronics","108.3","2021-03-10 14:29:55","2021-03-10 14:29:55"
"R-L3GDEL19","O-4DSIZSQM","P-6QA86CVO","C-DKXETPCG","699.35","10","merchant__electronics","668.42","2021-03-10 17:22:47","2021-03-10 17:22:47"
"R-99Q2O5YZ","O-E4P0L6U6","P-XFWA7KD1","C-N8I53LYH","163.33","1","merchant__bigboxretailer","198.95","2021-03-10 18:47:27","2021-03-10 18:47:27"
"R-F8AQGYRO","O-54LNAHQX","P-B36DCD6O","C-QYPUOCMC","356.69","5","merchant__clothing","369.32","2021-03-10 18:49:43","2021-03-10 18:49:43"
"R-PD5CA3WR","O-N68H0PAT","P-23GVT82B","C-S9DTHGDZ","60.37","10","merchant__electronics","61.49","2021-03-10 21:34:20","2021-03-10 21:34:20"
"R-JZPAZXEB","O-K9K6QNBO","P-VMEAFF5U","C-QYPUOCMC","83.76","2","merchant__clothing","299.67","2021-03-10 21:57:10","2021-03-10 21:57:10"
