"monthly_inventory_id","product__product_id","inventory_month","monthly_quantity_eom","wdf__client_id","monthly_quantity_bom","date"
"M-OFCJXH5Z","P-LKSUX91K","2021-04-01","7455","merchant__clothing","7750","2021-04-01 00:00:00"
"M-SDNDYE5K","P-VZU3JM2N","2021-04-01","6934","merchant__clothing","7122","2021-04-01 00:00:00"
"M-G6K01THZ","P-L8KNLADO","2021-04-01","6392","merchant__clothing","6604","2021-04-01 00:00:00"
"M-H37BF1ZY","P-BXK5WOE7","2021-04-01","6812","merchant__clothing","7002","2021-04-01 00:00:00"
"M-UCRY5EUQ","P-16MSGAL9","2021-04-01","5900","merchant__clothing","6116","2021-04-01 00:00:00"
"M-AHOZIWYX","P-1Z7GAHU7","2021-04-01","7055","merchant__clothing","7296","2021-04-01 00:00:00"
"M-ITQJJQPH","P-IHM5M8K9","2021-04-01","6108","merchant__clothing","6396","2021-04-01 00:00:00"
"M-1DQJVZPN","P-Q6NVRELC","2021-04-01","6207","merchant__clothing","6493","2021-04-01 00:00:00"
"M-KVJPS6Y5","P-S75GJ3KL","2021-04-01","5932","merchant__clothing","6160","2021-04-01 00:00:00"
"M-S1EIM2LN","P-AO7Z7DMV","2021-04-01","6115","merchant__clothing","6339","2021-04-01 00:00:00"
"M-FX7VDHGP","P-C97GAQMK","2021-04-01","6140","merchant__clothing","6363","2021-04-01 00:00:00"
"M-QGWYCHRK","P-RRWSPQRD","2021-04-01","5691","merchant__clothing","5903","2021-04-01 00:00:00"
"M-DM828HCK","P-52WXTFMY","2021-04-01","5889","merchant__clothing","6059","2021-04-01 00:00:00"
"M-R8BYPR87","P-D87QBB31","2021-04-01","6451","merchant__clothing","6685","2021-04-01 00:00:00"
"M-AJJZTY19","P-3X2VCC5G","2021-04-01","6201","merchant__clothing","6442","2021-04-01 00:00:00"
"M-GPS7JTCH","P-L8ZVNLKT","2021-04-01","6234","merchant__clothing","6468","2021-04-01 00:00:00"
"M-4TWM5NPQ","P-R89Y8XFT","2021-04-01","6321","merchant__clothing","6543","2021-04-01 00:00:00"
"M-ZPR9RIEX","P-8EHVZTL2","2021-04-01","6134","merchant__clothing","6276","2021-04-01 00:00:00"
"M-Q4AWSMH1","P-520166CI","2021-04-01","6017","merchant__clothing","6199","2021-04-01 00:00:00"
"M-7SRQ3RAD","P-4KFURA5O","2021-04-01","6125","merchant__clothing","6446","2021-04-01 00:00:00"
"M-I8ZZ5FP6","P-FS2JKUS1","2021-04-01","6733","merchant__clothing","6945","2021-04-01 00:00:00"
"M-UYD1IVKJ","P-V3XQCV5Y","2021-04-01","6608","merchant__clothing","6840","2021-04-01 00:00:00"
"M-4B2D5P1E","P-HU6VL7IX","2021-04-01","6044","merchant__clothing","6257","2021-04-01 00:00:00"
"M-X4BF8J36","P-TSM68ODQ","2021-04-01","6034","merchant__clothing","6223","2021-04-01 00:00:00"
"M-Z628ID96","P-A540EYK0","2021-04-01","6205","merchant__clothing","6429","2021-04-01 00:00:00"
"M-BP79BBXK","P-0JU0H6TL","2021-04-01","5427","merchant__clothing","5661","2021-04-01 00:00:00"
"M-Q95MSJQX","P-AX5LSY84","2021-04-01","5835","merchant__clothing","6161","2021-04-01 00:00:00"
