"return_id","order__order_id","product__product_id","customer__customer_id","return_unit_cost","return_unit_quantity","wdf__client_id","return_unit_paid_amount","date","return_date"
"R-SC2JNL1J","O-NRTDT43G","P-3X2VCC5G","C-QDARTLO2","81.6","3","merchant__electronics","138.15","2021-04-03 15:24:57","2021-04-03 15:24:57"
"R-OAZK059L","O-2JDUPT61","P-41ETL2V1","C-1ORTGUWL","4.08","1","merchant__bigboxretailer","533.88","2021-04-03 17:08:18","2021-04-03 17:08:18"
"R-OIPEA04Z","O-8HVIRO3Z","P-R89Y8XFT","C-QDARTLO2","86.03","3","merchant__electronics","156.76","2021-04-03 21:30:43","2021-04-03 21:30:43"
"R-Z0ZDHEYK","O-9D00JIYN","P-5VNM53I9","C-1ORTGUWL","83.02","9","merchant__bigboxretailer","479.73","2021-04-04 11:25:20","2021-04-04 11:25:20"
"R-IZVNJOK6","O-OZPNF9NG","P-L8KNLADO","C-QDARTLO2","389.54","3","merchant__electronics","460.91","2021-04-04 15:26:27","2021-04-04 15:26:27"
"R-SDGURJXP","O-8HVIRO3Z","P-V3EFS3D1","C-QDARTLO2","49.58","1","merchant__electronics","551.69","2021-04-04 21:02:29","2021-04-04 21:02:29"
"R-DVGBQIBP","O-7SS9ZJ63","P-4KFURA5O","C-QDARTLO2","712.96","2","merchant__electronics","633.64","2021-04-05 09:52:45","2021-04-05 09:52:45"
"R-28NDOS8U","O-CT2Y1Z0I","P-Q0OVMZV8","C-QDARTLO2","345.53","3","merchant__electronics","718.33","2021-04-05 11:45:54","2021-04-05 11:45:54"
"R-ZJIG0M4C","O-OZPNF9NG","P-4KFURA5O","C-QDARTLO2","9.97","2","merchant__electronics","14.95","2021-04-05 13:42:43","2021-04-05 13:42:43"
"R-KGJUBJX1","O-7OXSVN2T","P-9PU37GK9","C-KU4V13KF","399.18","8","merchant__bigboxretailer","540.79","2021-04-05 17:53:41","2021-04-05 17:53:41"
"R-ZAVNTI98","O-AUCTT9VO","P-QEY03FHY","C-QDARTLO2","25.34","9","merchant__electronics","238.87","2021-04-05 18:00:13","2021-04-05 18:00:13"
"R-O586QAF4","O-8HVIRO3Z","P-BXK5WOE7","C-QDARTLO2","563.81","7","merchant__electronics","675.99","2021-04-05 19:02:54","2021-04-05 19:02:54"
"R-2DVVA1FS","O-82O1QOZZ","P-Q6NVRELC","C-74LRCAJV","620.33","7","merchant__electronics","521.26","2021-04-05 20:52:49","2021-04-05 20:52:49"
"R-7E930VM3","O-82O1QOZZ","P-1Z7GAHU7","C-74LRCAJV","233.46","8","merchant__electronics","251.09","2021-04-06 07:27:47","2021-04-06 07:27:47"
"R-STK2QOS6","O-8SMA46IE","P-XHPBD4CK","C-JCAJTYOZ","3.19","2","merchant__electronics","41.83","2021-04-06 14:55:09","2021-04-06 14:55:09"
"R-64C2AGWS","O-ADFATAE1","P-1Z7GAHU7","C-QDARTLO2","336.48","5","merchant__electronics","455.56","2021-04-06 15:49:23","2021-04-06 15:49:23"
"R-Y4I72P8U","O-RRJYVA04","P-LKSUX91K","C-JCAJTYOZ","462.1","4","merchant__electronics","381.5","2021-04-06 20:07:46","2021-04-06 20:07:46"
"R-XR4SAO08","O-JDY0NYCX","P-NUD67MF8","C-B3W54Q1E","44.23","4","merchant__clothing","26.69","2021-04-07 01:38:48","2021-04-07 01:38:48"
"R-7V9UDKKM","O-416HO8Q7","P-NP05Z8SA","C-BT0TY0P5","228.26","7","merchant__bigboxretailer","559.14","2021-04-07 05:55:52","2021-04-07 05:55:52"
"R-YWJXJVDA","O-JNGX3PV0","P-GA7CDM5T","C-1ORTGUWL","76.13","10","merchant__bigboxretailer","255.34","2021-04-07 11:25:42","2021-04-07 11:25:42"
"R-GAFLRFGG","O-DH6SL48D","P-V3EFS3D1","C-74LRCAJV","255.95","5","merchant__electronics","298.56","2021-04-07 13:00:18","2021-04-07 13:00:18"
"R-AKFN2ZKM","O-AUCTT9VO","P-GA7CDM5T","C-QDARTLO2","256.67","8","merchant__electronics","266.9","2021-04-07 13:28:18","2021-04-07 13:28:18"
"R-V9K0O69K","O-AUCTT9VO","P-8EHVZTL2","C-QDARTLO2","228.38","8","merchant__electronics","288.44","2021-04-07 20:18:25","2021-04-07 20:18:25"
"R-8ORTN1BU","O-OFEEGG3F","P-HCBDUL15","C-KU4V13KF","351.11","2","merchant__bigboxretailer","664.23","2021-04-08 01:50:55","2021-04-08 01:50:55"
"R-3NKMHYXM","O-9MGQP0ID","P-Q0OVMZV8","C-1MZRZN96","127.65","9","merchant__electronics","128.45","2021-04-08 08:31:39","2021-04-08 08:31:39"
"R-JGFTNNI4","O-NRTDT43G","P-4KFURA5O","C-QDARTLO2","260.18","10","merchant__electronics","789.94","2021-04-08 11:50:06","2021-04-08 11:50:06"
"R-322I73A6","O-CME0R985","P-S75GJ3KL","C-JRL81O41","6.51","8","merchant__electronics","52.5","2021-04-08 13:05:31","2021-04-08 13:05:31"
"R-G6D9741I","O-2JDUPT61","P-9PU37GK9","C-1ORTGUWL","91.62","3","merchant__bigboxretailer","279.21","2021-04-08 13:08:38","2021-04-08 13:08:38"
"R-CVFPK1ZK","O-QPLB37IH","P-V3EFS3D1","C-74LRCAJV","223.67","4","merchant__electronics","165.84","2021-04-08 13:22:36","2021-04-08 13:22:36"
"R-BS5TCGGE","O-PECXMHC7","P-IHM5M8K9","C-74LRCAJV","112.61","10","merchant__electronics","671.34","2021-04-08 17:58:29","2021-04-08 17:58:29"
"R-L3GD9ZZ7","O-ADFATAE1","P-RRWSPQRD","C-QDARTLO2","86.44","10","merchant__electronics","240.59","2021-04-08 21:37:00","2021-04-08 21:37:00"
"R-UCR470WS","O-NH1LMP0X","P-4KFURA5O","C-JRL81O41","148.23","7","merchant__electronics","185.31","2021-04-09 00:34:24","2021-04-09 00:34:24"
"R-KGV0OQ0Z","O-JNGX3PV0","P-XHPBD4CK","C-1ORTGUWL","568.46","1","merchant__bigboxretailer","727.34","2021-04-09 10:28:36","2021-04-09 10:28:36"
"R-DDLLDIJF","O-JSG58PP7","P-L8ZVNLKT","C-QDARTLO2","405.89","4","merchant__electronics","548.73","2021-04-09 16:09:01","2021-04-09 16:09:01"
"R-J5P6A8NB","O-KO2UGJFZ","P-G32NNW3P","C-BT0TY0P5","152.18","6","merchant__bigboxretailer","363.44","2021-04-09 16:13:16","2021-04-09 16:13:16"
"R-FNXV5QS1","O-AUCTT9VO","P-IHM5M8K9","C-QDARTLO2","38.25","1","merchant__electronics","70.55","2021-04-09 16:24:55","2021-04-09 16:24:55"
"R-8KYBCGXX","O-ZUVY15OA","P-MJKIPQ1Q","C-VTA0VF6W","26.07","6","merchant__clothing","650.56","2021-04-10 07:40:54","2021-04-10 07:40:54"
"R-AEWWXRY2","O-NRTDT43G","P-52WXTFMY","C-QDARTLO2","377.27","5","merchant__electronics","904.0","2021-04-10 09:49:29","2021-04-10 09:49:29"
"R-J0QWT8WH","O-OZPNF9NG","P-IHM5M8K9","C-QDARTLO2","148.12","9","merchant__electronics","334.13","2021-04-10 14:37:58","2021-04-10 14:37:58"
"R-NGM5AEP0","O-SHXOCVB3","P-LKSUX91K","C-JCAJTYOZ","59.72","7","merchant__electronics","68.98","2021-04-10 15:10:01","2021-04-10 15:10:01"
"R-ETBEYUBO","O-RMD6CYFZ","P-3X2VCC5G","C-8W92WALB","44.81","1","merchant__electronics","239.57","2021-04-10 20:03:47","2021-04-10 20:03:47"
"R-ICAJSUDP","O-RA58PT6W","P-1Z7GAHU7","C-QDARTLO2","772.81","7","merchant__electronics","606.04","2021-04-10 20:41:04","2021-04-10 20:41:04"
"R-OS6AKPPY","O-4KJ93JZE","P-GCH2U2QM","C-LJ6AHO0S","10.17","2","merchant__bigboxretailer","469.35","2021-04-10 20:41:07","2021-04-10 20:41:07"
"R-CPAYELMO","O-B7LLJOQE","P-AO7Z7DMV","C-U35SDBOM","45.51","10","merchant__electronics","259.37","2021-04-10 21:15:18","2021-04-10 21:15:18"
"R-GNUU25ID","O-28UT386O","P-S75GJ3KL","C-74LRCAJV","233.49","1","merchant__electronics","557.42","2021-04-10 21:44:26","2021-04-10 21:44:26"
"R-0ZX3FMGO","O-Q68JKVCC","P-JM835AZW","C-1ORTGUWL","426.34","8","merchant__bigboxretailer","473.32","2021-04-11 06:22:21","2021-04-11 06:22:21"
"R-V45A5DIX","O-WC222C4K","P-Q0OVMZV8","C-GSQGSI0U","308.26","3","merchant__electronics","253.96","2021-04-11 09:32:36","2021-04-11 09:32:36"
"R-Q4B0PJZZ","O-TN56ZS7G","P-W06BX0KL","C-YEU4Y9T1","409.68","1","merchant__bigboxretailer","423.85","2021-04-11 11:04:36","2021-04-11 11:04:36"
"R-A3MIIVAK","O-7SS9ZJ63","P-IHM5M8K9","C-QDARTLO2","384.36","8","merchant__electronics","714.11","2021-04-11 13:30:47","2021-04-11 13:30:47"
"R-AKXFLLXK","O-LVB7JFQP","P-O60PMILU","C-QDARTLO2","189.59","8","merchant__electronics","300.71","2021-04-11 15:09:00","2021-04-11 15:09:00"
"R-PM1251G4","O-RMD6CYFZ","P-S75GJ3KL","C-8W92WALB","162.96","9","merchant__electronics","801.61","2021-04-11 15:46:07","2021-04-11 15:46:07"
"R-7JPSUDOX","O-THR6ZJDG","P-HCBDUL15","C-KU4V13KF","120.87","2","merchant__bigboxretailer","512.92","2021-04-11 16:44:06","2021-04-11 16:44:06"
"R-G2Q8QX71","O-NRTDT43G","P-L8ZVNLKT","C-QDARTLO2","254.44","8","merchant__electronics","564.9","2021-04-11 17:37:52","2021-04-11 17:37:52"
"R-GLOPUKUJ","O-ADFATAE1","P-3X2VCC5G","C-QDARTLO2","364.15","4","merchant__electronics","354.57","2021-04-11 20:56:13","2021-04-11 20:56:13"
"R-CD6JN2GE","O-AAKWZM59","P-L8ZVNLKT","C-6JEQRIAE","226.24","3","merchant__clothing","232.38","2021-04-12 03:30:46","2021-04-12 03:30:46"
"R-VW3J5KB7","O-ENP9VQM0","P-VZU3JM2N","C-IJD5L3SM","25.45","9","merchant__electronics","329.37","2021-04-12 11:03:17","2021-04-12 11:03:17"
"R-2JJVTO4B","O-BJ8WNX11","P-S75GJ3KL","C-74LRCAJV","2.8","5","merchant__electronics","1.85","2021-04-12 17:21:47","2021-04-12 17:21:47"
"R-SIROT65I","O-7OXSVN2T","P-QEY03FHY","C-KU4V13KF","243.57","2","merchant__bigboxretailer","533.3","2021-04-12 19:09:02","2021-04-12 19:09:02"
"R-7K5J3OO4","O-HEJ4ISZQ","P-YH31J011","C-LJ6AHO0S","345.64","3","merchant__bigboxretailer","757.73","2021-04-12 20:01:21","2021-04-12 20:01:21"
"R-5XC6W07O","O-8HVIRO3Z","P-LKSUX91K","C-QDARTLO2","435.64","8","merchant__electronics","693.68","2021-04-12 20:27:09","2021-04-12 20:27:09"
"R-E75CSZX4","O-ADFATAE1","P-16MSGAL9","C-QDARTLO2","190.77","8","merchant__electronics","353.17","2021-04-12 21:17:56","2021-04-12 21:17:56"
"R-Z350QLVZ","O-VRRE9MJP","P-8EHVZTL2","C-AFS9IC4M","282.88","5","merchant__electronics","837.32","2021-04-13 00:55:58","2021-04-13 00:55:58"
"R-KWZ09KXX","O-AAKWZM59","P-0JU0H6TL","C-6JEQRIAE","752.56","10","merchant__clothing","777.06","2021-04-13 02:52:36","2021-04-13 02:52:36"
"R-XGY0EVUV","O-OFEEGG3F","P-FP2FISPN","C-KU4V13KF","20.85","2","merchant__bigboxretailer","42.58","2021-04-13 03:10:37","2021-04-13 03:10:37"
"R-I2NIZYZ1","O-OFEEGG3F","P-25LSQDEP","C-KU4V13KF","417.86","7","merchant__bigboxretailer","377.45","2021-04-13 04:46:55","2021-04-13 04:46:55"
"R-M5EBLX7H","O-WC222C4K","P-S75GJ3KL","C-GSQGSI0U","275.45","4","merchant__electronics","264.96","2021-04-13 08:44:53","2021-04-13 08:44:53"
"R-PRNLCO6R","O-8SMA46IE","P-RRWSPQRD","C-JCAJTYOZ","25.74","4","merchant__electronics","294.75","2021-04-13 13:07:05","2021-04-13 13:07:05"
"R-3BC591P3","O-NF50FV9M","P-6DP2Z32Y","C-8TP4QDLV","121.01","10","merchant__bigboxretailer","471.17","2021-04-13 13:24:44","2021-04-13 13:24:44"
"R-J6OYU6GI","O-TN56ZS7G","P-5L5HJX0L","C-YEU4Y9T1","36.21","1","merchant__bigboxretailer","129.37","2021-04-13 16:02:42","2021-04-13 16:02:42"
"R-U18UJV7F","O-BJ8WNX11","P-L8KNLADO","C-74LRCAJV","592.17","10","merchant__electronics","651.45","2021-04-13 19:36:57","2021-04-13 19:36:57"
"R-30EHH9DS","O-RRJYVA04","P-RRWSPQRD","C-JCAJTYOZ","376.03","5","merchant__electronics","289.32","2021-04-13 20:54:22","2021-04-13 20:54:22"
"R-9EYQTJP1","O-28UT386O","P-LKSUX91K","C-74LRCAJV","137.2","8","merchant__electronics","104.09","2021-04-13 21:45:11","2021-04-13 21:45:11"
