"MONTHLY_INVENTORY_ID","PRODUCT__PRODUCT_ID","INVENTORY_MONTH","MONTHLY_QUANTITY_EOM","WDF__CLIENT_ID","MONTHLY_QUANTITY_BOM","DATE"
"M-GV5D1W9Z","P-B1M0SSDH","2020-12-01","6281","merchant__clothing","6512","2020-12-01 00:00:00"
"M-NFKBRN7N","P-O8QG4R0Q","2020-12-01","5741","merchant__clothing","6007","2020-12-01 00:00:00"
"M-M0SPOD8A","P-K3MNXYJP","2020-12-01","5918","merchant__clothing","6109","2020-12-01 00:00:00"
"M-VJ1VPPBD","P-YC1MRRBK","2020-12-01","6454","merchant__clothing","6727","2020-12-01 00:00:00"
"M-QY5VHW86","P-O18FAMWA","2020-12-01","5925","merchant__clothing","6204","2020-12-01 00:00:00"
"M-SPO0A88I","P-Q1X1RP1Z","2020-12-01","5924","merchant__clothing","6176","2020-12-01 00:00:00"
"M-3KJOTYM0","P-74XREH0Z","2020-12-01","6226","merchant__clothing","6494","2020-12-01 00:00:00"
"M-VY4CNCTJ","P-G6WRY6RD","2020-12-01","5888","merchant__clothing","6137","2020-12-01 00:00:00"
"M-8OVPW589","P-ZGQE0EX9","2020-12-01","5619","merchant__clothing","5928","2020-12-01 00:00:00"
"M-CMK1IEO2","P-4CTM9S8S","2020-12-01","6345","merchant__clothing","6600","2020-12-01 00:00:00"
"M-78891912","P-77A4OOFC","2020-12-01","5575","merchant__clothing","5868","2020-12-01 00:00:00"
"M-708RCTZ2","P-MC92KDOP","2020-12-01","6326","merchant__clothing","6533","2020-12-01 00:00:00"
"M-7G8M8RZC","P-SIC3YOWO","2020-12-01","6625","merchant__clothing","6989","2020-12-01 00:00:00"
"M-L9529VS4","P-FUVYRAZC","2020-12-01","6558","merchant__clothing","6804","2020-12-01 00:00:00"
"M-DRL7K9BL","P-0ZZYT3W4","2020-12-01","6158","merchant__clothing","6403","2020-12-01 00:00:00"
"M-SG0KVZ72","P-QUFTVSLH","2020-12-01","5608","merchant__clothing","5898","2020-12-01 00:00:00"
"M-8QF7TDM4","P-KISHUEPI","2020-12-01","5869","merchant__clothing","6093","2020-12-01 00:00:00"
"M-4BDIZ4CK","P-TXJKCDC5","2020-12-01","5520","merchant__clothing","5801","2020-12-01 00:00:00"
"M-DKJQJ53C","P-47KA7KOD","2020-12-01","5809","merchant__clothing","6106","2020-12-01 00:00:00"
"M-D46SBLP4","P-WN2X1CF5","2020-12-01","6023","merchant__clothing","6266","2020-12-01 00:00:00"
"M-QO7NE4YS","P-EUHY1EFW","2020-12-01","5777","merchant__clothing","5989","2020-12-01 00:00:00"
"M-Y0SB3MAM","P-F72LJL2C","2020-12-01","6334","merchant__clothing","6656","2020-12-01 00:00:00"
"M-888UVBGI","P-8DHFY8A8","2020-12-01","5710","merchant__clothing","5911","2020-12-01 00:00:00"
"M-JTP9C13L","P-RPCRM8LD","2020-12-01","5833","merchant__clothing","6156","2020-12-01 00:00:00"
"M-U0NMXORR","P-GKOCRERP","2020-12-01","6296","merchant__clothing","6591","2020-12-01 00:00:00"
"M-N7PJKJ79","P-MUOEMX4R","2020-12-01","6625","merchant__clothing","6854","2020-12-01 00:00:00"
"M-7NJ8O7T7","P-5H882OOD","2020-12-01","5746","merchant__clothing","6003","2020-12-01 00:00:00"
"M-VPDL2HPD","P-GSFQSSIZ","2020-12-01","5920","merchant__clothing","6160","2020-12-01 00:00:00"
"M-TRB823YH","P-J35F6GFF","2020-12-01","6428","merchant__clothing","6698","2020-12-01 00:00:00"
"M-ZTZXP3I9","P-CT5IQJWP","2020-12-01","5989","merchant__clothing","6282","2020-12-01 00:00:00"
"M-KVX4NBSH","P-QRAMU6SV","2020-12-01","6193","merchant__clothing","6514","2020-12-01 00:00:00"
"M-49OXSVLH","P-DZ4UHIKM","2020-12-01","6062","merchant__clothing","6331","2020-12-01 00:00:00"
"M-Z953OGPE","P-GXVAKC36","2020-12-01","6585","merchant__clothing","6828","2020-12-01 00:00:00"
"M-NGK7LENP","P-K52WD4BA","2020-12-01","6750","merchant__clothing","6972","2020-12-01 00:00:00"
"M-18TPTT0L","P-WDXJRJLC","2020-12-01","6287","merchant__clothing","6545","2020-12-01 00:00:00"
"M-XPMBX289","P-6PWP9VP1","2020-12-01","5899","merchant__clothing","6139","2020-12-01 00:00:00"
"M-SFFLDS8U","P-2NLD77B8","2020-12-01","6038","merchant__clothing","6311","2020-12-01 00:00:00"
"M-UUK2NNM7","P-UML98LBP","2020-12-01","5695","merchant__clothing","5948","2020-12-01 00:00:00"
"M-6O4T7HZG","P-KPAYZLD4","2020-12-01","5431","merchant__clothing","5782","2020-12-01 00:00:00"
"M-G5BXP007","P-BB7EU34R","2020-12-01","5380","merchant__clothing","5586","2020-12-01 00:00:00"
"M-IF87FB3W","P-CRBIVFTK","2020-12-01","5793","merchant__clothing","6046","2020-12-01 00:00:00"
"M-R7YGHYYW","P-5NNSHX4V","2020-12-01","6000","merchant__clothing","6269","2020-12-01 00:00:00"
"M-14YDPMMS","P-03CK6HUD","2020-12-01","6647","merchant__clothing","6836","2020-12-01 00:00:00"
"M-PGADMBNG","P-ZS0EW3TF","2020-12-01","6020","merchant__clothing","6242","2020-12-01 00:00:00"
"M-N61ZTFYK","P-L70T91AX","2020-12-01","6383","merchant__clothing","6654","2020-12-01 00:00:00"
"M-773YR835","P-HT2MT4I0","2020-12-01","6361","merchant__clothing","6587","2020-12-01 00:00:00"
"M-IWCEDCUC","P-C2R4BL17","2020-12-01","5497","merchant__clothing","5704","2020-12-01 00:00:00"
"M-AIJWZSLL","P-EAQPL26T","2020-12-01","6542","merchant__clothing","6762","2020-12-01 00:00:00"
"M-2SPY1M6V","P-VETX6GL5","2020-12-01","5584","merchant__clothing","5796","2020-12-01 00:00:00"
