"ORDER_ID","WDF__CLIENT_ID","ORDER_STATUS"
"O-AKGUMWVA","merchant__clothing","In Cart"
"O-OK6FUZU3","merchant__bigboxretailer","In Cart"
"O-DPF7VHNP","merchant__electronics","In Cart"
"O-MAAWBPSD","merchant__bigboxretailer","Canceled"
"O-5A2GSQVP","merchant__clothing","Canceled"
"O-AHNL4VUV","merchant__electronics","Canceled"
"O-QJ0W4R7K","merchant__clothing","Processed"
"O-DEYHLCLJ","merchant__electronics","Processed"
"O-MTN8KJXA","merchant__bigboxretailer","Processed"
"O-OJZTPCOX","merchant__clothing","Processed"
"O-968MSJ1P","merchant__electronics","Processed"
"O-G1UXNHFR","merchant__bigboxretailer","Processed"
"O-WWILQ40J","merchant__electronics","Processed"
"O-F7L34K23","merchant__clothing","Processed"
"O-M06T0I8O","merchant__clothing","Processed"
"O-4OMQE18S","merchant__bigboxretailer","Processed"
"O-TE5VKQDQ","merchant__electronics","Processed"
"O-UOH2G23P","merchant__bigboxretailer","Processed"
"O-6CPE7OPR","merchant__bigboxretailer","Processed"
"O-GERRCFF2","merchant__clothing","Processed"
"O-6GXI4K5S","merchant__electronics","Processed"
"O-0VS0FQNP","merchant__clothing","Processed"
"O-3N3UCWM5","merchant__electronics","Processed"
"O-W5HUI8J2","merchant__bigboxretailer","Processed"
"O-PYBVE229","merchant__electronics","Processed"
"O-J5FIITYR","merchant__electronics","Processed"
"O-PSKA9WGQ","merchant__bigboxretailer","Processed"
"O-IRPVDOZK","merchant__clothing","Processed"
"O-U1LZIXH5","merchant__electronics","Processed"
"O-UMJWV6Y0","merchant__bigboxretailer","Processed"
"O-XFVPH2QT","merchant__bigboxretailer","Processed"
"O-FE8OG9DQ","merchant__bigboxretailer","Processed"
"O-8YADLXXK","merchant__electronics","Processed"
"O-53HM6PEQ","merchant__clothing","Processed"
"O-ND118447","merchant__electronics","Processed"
"O-TRR4S7M3","merchant__electronics","Processed"
"O-FK71ZT8O","merchant__electronics","Canceled"
"O-40IDDRNJ","merchant__clothing","Processed"
"O-0MI0OFYM","merchant__bigboxretailer","Processed"
"O-IK1MNG6V","merchant__clothing","Processed"
"O-E9IR550S","merchant__clothing","Processed"
"O-A7KF5GKT","merchant__clothing","Processed"
"O-IPD4D7ST","merchant__bigboxretailer","Processed"
"O-EOGZET7X","merchant__clothing","Canceled"
"O-N19PD9FJ","merchant__electronics","Processed"
"O-OP6IX8VN","merchant__bigboxretailer","Processed"
"O-TPO3VOPU","merchant__electronics","Processed"
"O-2IIRLI5C","merchant__clothing","Processed"
"O-MNGLOHVH","merchant__clothing","Processed"
"O-OUMCH63D","merchant__bigboxretailer","Processed"
"O-3QJGKWX1","merchant__bigboxretailer","Processed"
"O-N418437O","merchant__clothing","Processed"
"O-XSQCNY5H","merchant__bigboxretailer","Canceled"
"O-LZN4XRTH","merchant__electronics","Processed"
"O-86ONASM8","merchant__electronics","Processed"
"O-E7ADE873","merchant__bigboxretailer","Processed"
"O-DB3HI5I7","merchant__bigboxretailer","Processed"
"O-6GNUMUY6","merchant__electronics","Processed"
"O-2W8XJGP9","merchant__bigboxretailer","Processed"
"O-SIQ7BQQP","merchant__electronics","Processed"
"O-PNZ2L3P9","merchant__clothing","Processed"
"O-LZXRZFVT","merchant__electronics","Processed"
"O-TECRXHF0","merchant__electronics","Processed"
"O-XYQA3E6M","merchant__electronics","Processed"
"O-ZPK7CRG0","merchant__clothing","Processed"
"O-YB7RAGFO","merchant__bigboxretailer","In Cart"
"O-9I8SE16Q","merchant__electronics","In Cart"
"O-EWH683LW","merchant__bigboxretailer","Processed"
"O-UOVG8ARK","merchant__bigboxretailer","Processed"
"O-X8VC1RLK","merchant__clothing","Processed"
"O-XFDXHGWC","merchant__electronics","In Cart"
"O-FZHPHLZB","merchant__electronics","Processed"
"O-KKO5T5OI","merchant__clothing","Canceled"
"O-K2VF17G6","merchant__electronics","Processed"
"O-WWN3TN0S","merchant__clothing","Processed"
"O-F2KMTYEW","merchant__electronics","Processed"
"O-30747WRT","merchant__bigboxretailer","Processed"
"O-K3SJ3A3P","merchant__bigboxretailer","Processed"
"O-9G017461","merchant__electronics","Processed"
"O-VCC76CXS","merchant__electronics","Canceled"
"O-JUGU2D09","merchant__electronics","Processed"
"O-4B3CZ8EZ","merchant__clothing","Processed"
"O-SKU3OZR9","merchant__clothing","Processed"
"O-ETKF3SZX","merchant__bigboxretailer","Canceled"
"O-G7R9DL2M","merchant__bigboxretailer","Processed"
"O-2WGOF5E9","merchant__electronics","Processed"
"O-C3Q99TJI","merchant__bigboxretailer","In Cart"
"O-EGBFIY3Y","merchant__electronics","Processed"
"O-AZVBU1QG","merchant__electronics","Canceled"
