"RETURN_ID","ORDER__ORDER_ID","PRODUCT__PRODUCT_ID","CUSTOMER__CUSTOMER_ID","RETURN_UNIT_COST","RETURN_UNIT_QUANTITY","WDF__CLIENT_ID","RETURN_UNIT_PAID_AMOUNT","DATE","RETURN_DATE"
"R-ILQ1M8QO","O-4B3CZ8EZ","P-ZS0EW3TF","C-9A15ZWQD","53.18","5","merchant__clothing","38.9","2020-12-02 17:31:38","2020-12-02 17:31:38"
"R-TZXXIIKQ","O-PYBVE229","P-YC1MRRBK","C-8T52NGV6","443.27","7","merchant__electronics","444.15","2020-12-03 08:23:00","2020-12-03 08:23:00"
"R-O6XZB93T","O-8JA7XNGU","P-J7Z2EX8J","C-8SZ844N6","116.71","1","merchant__bigboxretailer","285.8","2020-12-05 15:41:54","2020-12-05 15:41:54"
"R-SZ557053","O-8JA7XNGU","P-9IQDJPW2","C-8SZ844N6","99.41","9","merchant__bigboxretailer","782.66","2020-12-05 16:55:01","2020-12-05 16:55:01"
"R-W9UCBY0I","O-0SGK9APT","P-Q61CBJBH","C-8SZ844N6","391.57","3","merchant__bigboxretailer","363.91","2020-12-05 18:49:47","2020-12-05 18:49:47"
"R-9633PS7P","O-RYXEA32X","P-G6WRY6RD","C-2KBPRMSE","168.32","5","merchant__clothing","257.01","2020-12-06 08:01:18","2020-12-06 08:01:18"
"R-4Q0MY4IZ","O-YQ9T54YS","P-LDPRP77V","C-UMIZBN8N","24.01","8","merchant__electronics","66.82","2020-12-06 17:37:45","2020-12-06 17:37:45"
"R-FEP667XD","O-BRJIX7Z0","P-4T8TMC57","C-U0DC6L5P","289.83","8","merchant__bigboxretailer","241.32","2020-12-06 18:29:32","2020-12-06 18:29:32"
"R-280QO16A","O-Q222WBMX","P-Q1X1RP1Z","C-9A15ZWQD","80.51","9","merchant__clothing","329.48","2020-12-06 19:44:06","2020-12-06 19:44:06"
"R-9YIHE83D","O-ZTIHIW92","P-74XREH0Z","C-8D6EFU22","778.3","6","merchant__electronics","827.44","2020-12-07 00:57:45","2020-12-07 00:57:45"
"R-0C1EH9PL","O-0SGK9APT","P-YSRD3RFN","C-8SZ844N6","207.21","6","merchant__bigboxretailer","140.25","2020-12-07 18:11:59","2020-12-07 18:11:59"
"R-MSSIMIB8","O-GIYRFNLY","P-0ZZYT3W4","C-8T52NGV6","122.15","1","merchant__electronics","99.8","2020-12-07 18:43:21","2020-12-07 18:43:21"
"R-5PEEKORA","O-YQ9T54YS","P-47KA7KOD","C-UMIZBN8N","211.18","2","merchant__electronics","353.44","2020-12-08 12:30:38","2020-12-08 12:30:38"
"R-MCQ333KZ","O-NU2SPAPA","P-F72LJL2C","C-2KBPRMSE","143.0","3","merchant__clothing","143.3","2020-12-08 14:43:43","2020-12-08 14:43:43"
"R-DATGLA57","O-ZTIHIW92","P-QUFTVSLH","C-8D6EFU22","618.12","7","merchant__electronics","680.06","2020-12-08 15:02:24","2020-12-08 15:02:24"
"R-DCM93UMT","O-TECRXHF0","P-G6WRY6RD","C-8T52NGV6","141.47","7","merchant__electronics","154.34","2020-12-08 22:29:29","2020-12-08 22:29:29"
"R-MJLC1I3N","O-46Y367D1","P-ZS0EW3TF","C-2KBPRMSE","46.66","4","merchant__clothing","55.04","2020-12-09 09:45:36","2020-12-09 09:45:36"
"R-M7475X0V","O-QVT4DJ85","P-TXJKCDC5","C-6H7JZ60V","85.93","1","merchant__clothing","95.65","2020-12-09 11:07:51","2020-12-09 11:07:51"
"R-KN9GYK1R","O-TECRXHF0","P-47KA7KOD","C-8T52NGV6","113.8","5","merchant__electronics","128.35","2020-12-09 12:02:19","2020-12-09 12:02:19"
"R-ORKWFVZ5","O-VIJ5RSNC","P-KISHUEPI","C-MRLO1HPN","36.77","2","merchant__electronics","73.13","2020-12-09 12:58:38","2020-12-09 12:58:38"
"R-15IQJONV","O-8JA7XNGU","P-AD7PM1Y1","C-8SZ844N6","244.41","4","merchant__bigboxretailer","319.52","2020-12-09 13:16:39","2020-12-09 13:16:39"
"R-W8OASYIC","O-Q222WBMX","P-QRAMU6SV","C-9A15ZWQD","53.38","8","merchant__clothing","219.04","2020-12-09 15:19:33","2020-12-09 15:19:33"
"R-Q41FUHVQ","O-XYQA3E6M","P-7VP9BGIN","C-047NT4CK","17.0","4","merchant__electronics","17.37","2020-12-09 16:40:12","2020-12-09 16:40:12"
"R-ZSQY09ZH","O-0SGK9APT","P-6Q263243","C-8SZ844N6","598.73","3","merchant__bigboxretailer","636.56","2020-12-09 18:11:15","2020-12-09 18:11:15"
"R-WEJHXG9R","O-4B3CZ8EZ","P-Q1SE0JTB","C-9A15ZWQD","144.45","7","merchant__clothing","397.7","2020-12-09 18:57:13","2020-12-09 18:57:13"
"R-DEQZYINS","O-O76YOX5I","P-0ZZYT3W4","C-JIN86GDQ","85.65","6","merchant__electronics","366.04","2020-12-09 19:43:25","2020-12-09 19:43:25"
"R-855X9MEP","O-WGL3BWNA","P-8DHFY8A8","C-2KBPRMSE","165.57","7","merchant__clothing","778.93","2020-12-09 19:51:52","2020-12-09 19:51:52"
"R-DGINCXSA","O-0EP4PTKL","P-FUVYRAZC","C-LHGYMQK3","471.98","3","merchant__electronics","589.16","2020-12-09 21:30:53","2020-12-09 21:30:53"
